apt_seq	area_type	area_type_source	floor_band	jeonse_level	jeonse_per_m2_adj	jeonse_n_trades	jeonse_months_since	is_move_in_period	jeonse_over_sale_ratio_gt1	est_price_per_m2	est_low	est_high	est_confidence
11110-49	57.000000	BOTH	UNKNOWN	RENT_CELL	419.495949	9.000000	8.000000	0.000000	False	547.705435	485.369140	696.883634	LOW
11110-97	60.000000	BOTH	UNKNOWN	RENT_CELL	448.560486	1.000000	11.000000	0.000000	False	642.059386	568.984334	816.936713	LOW
11110-973	81.000000	SALE	UNKNOWN	SALE_CELL				0.000000	False	736.575823	652.743520	937.196535	LOW
11110-973	135.000000	BOTH	UNKNOWN	NONE				0.000000	False	800.264393	709.183469	1018.231922	LOW
11110-98	60.000000	RENT	UNKNOWN	RENT_CELL	432.374542	1.000000	19.000000	0.000000	False	621.550575	550.809703	790.841930	LOW
11110-99	60.000000	RENT	UNKNOWN	RENT_CELL	490.404290	2.000000	11.000000	0.000000	False	661.347832	586.077493	841.478741	LOW
11140-1004	45.000000	RENT	UNKNOWN	RENT_CELL	841.855445	1.000000	28.000000	0.000000	False	891.077347	789.660679	1133.779546	LOW
11140-1004	48.000000	SALE	UNKNOWN	RENT_COMPLEX	567.720203	5.000000	18.000000	0.000000	False	791.593102	701.499088	1007.198836	LOW
11140-1004	51.000000	RENT	UNKNOWN	RENT_CELL	565.699114	1.000000	18.000000	0.000000	False	790.419250	700.458836	1005.705263	LOW
11140-1004	57.000000	BOTH	UNKNOWN	RENT_CELL	567.720203	3.000000	25.000000	0.000000	False	791.733703	701.623687	1007.377734	LOW
11140-1007	69.000000	RENT	UNKNOWN	RENT_CELL	585.169477	1.000000	13.000000	0.000000	False	793.007382	702.752404	1008.998324	LOW
11140-1007	81.000000	RENT	UNKNOWN	RENT_CELL	638.932914	4.000000	51.000000	0.000000	False	790.084894	700.162534	1005.279839	LOW
11140-1019	54.000000	RENT	UNKNOWN	RENT_CELL	906.215050	4.000000	44.000000	0.000000	False	1020.094847	903.994240	1297.937464	LOW
11140-1019	75.000000	RENT	UNKNOWN	RENT_CELL	803.036348	1.000000	50.000000	0.000000	False	954.630131	845.980296	1214.642163	LOW
11140-1019	84.000000	RENT	UNKNOWN	RENT_CELL	795.475080	2.000000	20.000000	0.000000	False	955.292400	846.567190	1215.484814	LOW
11140-1131	42.000000	RENT	MID	RENT_CELL	536.146941	1.000000	49.000000	0.000000	False	672.906391	596.320532	856.185499	LOW
11140-1131	72.000000	RENT	HIGH	RENT_CELL	353.901290	2.000000	38.000000	0.000000	False	640.017864	567.175165	814.339143	LOW
11140-1133	15.000000	RENT	HIGH	RENT_CELL	864.179629	5.000000	6.000000	0.000000	True	713.793265	632.553926	908.208705	HIGH
11140-1133	15.000000	RENT	LOW	RENT_CELL	864.179629	5.000000	6.000000	0.000000	True	698.236370	618.767617	888.414589	LOW
11140-1133	15.000000	RENT	MID	RENT_CELL	864.179629	5.000000	6.000000	0.000000	True	716.349927	634.819605	911.461723	MEDIUM
11140-1133	18.000000	RENT	HIGH	RENT_CELL	850.447525	49.000000	1.000000	0.000000	True	716.556842	635.002970	911.724996	LOW
11140-1133	18.000000	RENT	MID	RENT_CELL	850.447525	49.000000	1.000000	0.000000	True	717.572714	635.903223	913.017561	LOW
11140-1133	21.000000	RENT	MID	RENT_CELL	841.217267	2.000000	12.000000	0.000000	True	789.226088	699.401473	1004.187121	LOW
11140-1133	45.000000	RENT	LOW	RENT_CELL	698.745220	1.000000	24.000000	0.000000	False	776.366702	688.005658	987.825231	LOW
