ykiho	name	class_cd	class_nm	sggu_nm	emdong_nm	addr	lon	lat	estb_day	doctor_total	telno	is_pediatric
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxNzAyIzExIyQxIyQ3IyQ4MiQzNjEwMDIjNDEjJDEjJDgjJDgz	뷰티스한의원	93	한의원	관악구	봉천동	서울특별시 관악구 남부순환로 1838, C.S타워 3층 (봉천동)	126.9539797	37.4804451	20260708	1	02-875-1838	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzExIyQxIyQzIyQ2MiQzNjEwMDIjNTEjJDEjJDYjJDgz	브레인리더한의원	93	한의원	서초구	서초동	서울특별시 서초구 강남대로 359, 3층 302,303,304호 (서초동)	127.0286234	37.4948012	20170425	1	02-2646-3927	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQxIyQ2MiQyNjEwMDIjNTEjJDEjJDYjJDgz	비경한의원	93	한의원	강남구	도곡동	서울특별시 강남구 남부순환로363길 9-8, 지하1층, 1층, 5층 (도곡동)	127.0377134	37.4857465	19971223	1	02-573-5770	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ4MiQzNjE4MzIjODEjJDEjJDYjJDgz	비노한의원	93	한의원	중랑구	망우동	서울특별시 중랑구 용마산로 442-1, 1층 (망우동)	127.0978259	37.5908568	20150416	1	02-432-0009	False
JDQ4MTg4MSM1MSMkMSMkOCMkMTMkMzgxNzAyIzExIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz	비로소한의원	93	한의원	마포구	아현동	서울특별시 마포구 굴레방로 9-1, 2층 (아현동)	126.9559378	37.5549235	20241128	1	0507-1494-0649	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQyIyQ5IyQwMCQyNjEwMDIjNDEjJDEjJDgjJDgz	비스타한의원	93	한의원	중구	충무로4가	서울특별시 중구 퇴계로 213, 일흥빌딩 (충무로4가)	126.9955133	37.5619014	20050401	1	02-2264-1075	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzQxIyQxIyQ3IyQ3OSQyNjE4MzIjNTEjJDEjJDYjJDgz	비안채한의원	93	한의원	강동구	강일동	서울특별시 강동구 아리수로93나길 80, 성산타워2 201호 (강일동)	127.1762408	37.5725546	20230518	2	02-741-2121	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzMxIyQxIyQ3IyQ3MiQ0NjE0ODEjNTEjJDEjJDYjJDgz	비앤비한의원	93	한의원	관악구	봉천동	서울특별시 관악구 보라매로 12, 관악농협 2층 203호 (봉천동)	126.9277574	37.4904929	20091125	1	02-888-7510	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxNzAyIzExIyQxIyQzIyQxMyQzNjEwMDIjNjEjJDEjJDgjJDgz	비에이한의원	93	한의원	강남구	논현동	서울특별시 강남구 봉은사로 213, 센트럴타워 5층 (논현동)	127.0353978	37.5080467	20260209	1	02-6228-0506	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzUxIyQxIyQxIyQ4OSQzNjEwMDIjODEjJDEjJDIjJDgz	비타민한의원	93	한의원	노원구	상계동	서울특별시 노원구 상계로1길 14-11, 하이웰빙상가 4층 (상계동)	127.0618369	37.6569219	20130314	1	02-932-8875	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzIxIyQxIyQ1IyQ2MiQyNjE0ODEjNTEjJDEjJDIjJDgz	비타민한의원	93	한의원	서초구	서초동	서울특별시 서초구 강남대로 341, 5층 (서초동, 삼원빌딩)	127.0293874	37.4932705	20170601	2	02-2088-1220	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQyIyQ1IyQwMCQyNjE0ODEjNTEjJDEjJDYjJDgz	빛담은한의원	93	한의원	강서구	마곡동	서울특별시 강서구 마곡중앙6로 93, 열린프라자 4층 405호 (마곡동)	126.8376979	37.5601357	20250131	1	02-2135-7535	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMTkxIzMxIyQxIyQ3IyQ3MiQyNjEwMDIjNTEjJDEjJDYjJDgz	빛샘한의원	93	한의원	양천구	목동	서울특별시 양천구 신목로 100-6, 2층 (목동, 정목빌딩)	126.8758488	37.5232845	20010917	1	02-2654-7857	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzIxIyQxIyQxIyQ4MiQzNjEyMjIjODEjJDEjJDYjJDgz	빛울림한의원	93	한의원	종로구	종로1가	서울특별시 종로구 종로 19, 201-3, 201-4, 비115비-1-호 (종로1가)	126.9798606	37.5708345	20151125	1	02-732-8875	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzUxIyQxIyQxIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz	빛한의원	93	한의원	동대문구	제기동	서울특별시 동대문구 약령중앙로 9, 2층 (제기동)	127.0365876	37.579267	20200320	1	02-966-6669	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMTkxIzIxIyQxIyQ1IyQ4OSQzNjEwMDIjODEjJDEjJDIjJDgz	빼빼한의원	93	한의원	서대문구		서울특별시 서대문구 가재울미래로 2, 별동상가동 2층 206호 (남가좌동, DMC파크뷰자이)	126.9176129	37.5728378	20250421	1	02-2038-2114	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxNzAyIzExIyQyIyQzIyQwMCQyNjEyMjIjODEjJDEjJDIjJDgz	빼채올한의원	93	한의원	강남구	신사동	서울특별시 강남구 도산대로 121, YK타워 7층 (신사동)	127.0217421	37.5174154	20250930	1	02-6953-1072	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMTkxIzMxIyQxIyQzIyQwMyQzNjEwMDIjNDEjJDEjJDgjJDgz	뿌리깊은한의원	93	한의원	강남구	논현동	서울특별시 강남구 선릉로111길 23, 501호 (논현동)	127.0416926	37.5103523	20010523	1	02-516-7766	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxMTkxIzExIyQxIyQ3IyQ3MiQzNjE4MzIjNDEjJDEjJDgjJDgz	뿌리한의원	93	한의원	양천구	신정동	서울특별시 양천구 목동로 211, 201호 (신정동)	126.8639003	37.5272892	20070828	1	02-2698-6116	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxOTYxIzUxIyQxIyQ1IyQ3MiQzNjEyMjIjNDEjJDEjJDgjJDgz	사가정한의원	93	한의원	중랑구	면목동	서울특별시 중랑구 사가정로52길 13, 4층 (면목동)	127.0874569	37.5800874	20220503	1	02-495-7575	False
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkMzgxNzAyIzMxIyQyIyQ3IyQwMCQyNjEyMjIjNjEjJDEjJDAjJDgz	사계경희한의원	93	한의원	송파구	방이동	서울특별시 송파구 백제고분로 464, 대륙빌딩 2층 (방이동)	127.1134271	37.5117199	20080303	1	02-430-6124	False
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQxIyQxIyQ4OSQ0NjEwMDIjNDEjJDEjJDQjJDgz	사계절한의원	93	한의원	중구	장교동	서울특별시 중구 삼일대로 363, 장교빌딩 803호 (장교동)	126.9870535	37.5671779	20080417	1	02-756-7585	False
