aptSeq	apt_name	umd_name	jibun	build_year	n_trades	name_key	osm_id	name	osm_build_year	osm_n_dong
11680-3628	블루밍하우스	삼성동	64-4	2006.0	1	블루밍하우스				
11680-3633	청담2차이-편한세상(204동)	청담동	15	2005.0	5	청담2차이편한세상204동				
11680-364	타워팰리스1	도곡동	467	2002.0	14	타워팰리스1	443030426.0		2002.0	4.0
11680-3641	삼성동롯데캐슬킹덤	삼성동	43	2005.0	3	삼성동롯데캐슬킹덤	471571215.0		2000.0	3.0
11680-3645	삼성동신영지웰	삼성동	114-11	2005.0	2	삼성동신영지웰				
11680-3647	SK허브프리모	도곡동	953-1	2006.0	11	sk허브프리모				
11680-365	타워팰리스2	도곡동	467-17	2003.0	9	타워팰리스2	443030425.0		2003.0	2.0
11680-3651	래미안삼성1차(103-22)	삼성동	103-22	2006.0	3	래미안삼성1차10322				
11680-3660	우찬현대(1260-2)	개포동	1260-2	2006.0	2	우찬현대12602				
11680-3672	신성미소시티	대치동	904-10	2006.0	1	신성미소시티				
11680-3679	역삼I'PARK	역삼동	713-11	2006.0	21	역삼ipark				
11680-368	삼호빌라B동	청담동	113-23	1997.0	1	삼호빌라b동				
11680-3683	역삼디오슈페리움	역삼동	832-5	2006.0	1	역삼디오슈페리움				
11680-3686	래미안삼성1차(201동)	삼성동	102	2006.0	1	래미안삼성1차201동				
11680-3690	논현프라임아파트	논현동	196-4	2006.0	1	논현프라임				
11680-3697	선릉역풍림아이원레몬	대치동	890-54	2006.0	1	선릉역풍림아이원레몬				
11680-3698	삼환SOGOOD	대치동	938-16	2006.0	1	삼환sogood				
11680-3704	청담2차이-편한세상(205동)	청담동	15-21	2006.0	1	청담2차이편한세상205동				
11680-3705	한화꿈에그린2차	논현동	194-23	2006.0	2	한화꿈에그린2차				
11680-3709	채널리저브	삼성동	144-14	2007.0	1	채널리저브				
11680-371	개포2차현대아파트(220)	개포동	655-2	1988.0	2	개포2차현대220				
11680-372	개포우성1	대치동	503	1983.0	8	개포우성1	549692900.0		1983.0	9.0
11680-3721	쎄비앙102동	역삼동	778-5	2007.0	1	쎄비앙102동				
11680-3722	쌍용플레티넘밸류	역삼동	826-37	2007.0	7	쌍용플레티넘밸류				
11680-3726	논현파라곤	논현동	241-1	2007.0	5	논현파라곤				
11680-3728	롯데캐슬노블	역삼동	835-68	2007.0	11	롯데캐슬노블				
11680-373	쌍용대치아파트1동,2동,3동,5동,6동	대치동	66	1983.0	8	쌍용대치1동2동3동5동6동				
11680-3730	논현동월드메르디앙	논현동	212-13	2007.0	2	논현동월드메르디앙	1043288113.0		2002.0	2.0
11680-3731	도곡스타클래스	도곡동	957-11	2007.0	9	도곡스타클래스				
11680-3732	래미안삼성2차	삼성동	7-3	2007.0	8	래미안삼성2차				
11680-3734	도곡1차아이파크	도곡동	543-7	2007.0	3	도곡1차아이파크				
11680-3739	롯데캐슬리베	대치동	1025	2008.0	3	롯데캐슬리베	637366149.0		2008.0	2.0
11680-3741	도곡3차아이파크	도곡동	970	2007.0	1	도곡3차아이파크				
11680-3773	청담3차이-편한세상(301동)	청담동	44-21	2007.0	2	청담3차이편한세상301동				
11680-378	한양1차(영동한양)	압구정동	490	1977.0	14	한양1차영동한양	549692895.0		1983.0	6.0
11680-379	한양2	압구정동	493	1978.0	3	한양2				
11680-380	한양3	압구정동	489	1978.0	6	한양3				
11680-381	한양4	압구정동	486	1978.0	2	한양4				
11680-382	한양5	압구정동	513	1979.0	1	한양5				
11680-3830	현대힐스테이트2단지	삼성동	50	2008.0	23	현대힐스테이트2단지				
11680-3834	삼성동힐스테이트 1단지	삼성동	16-2	2008.0	43	삼성동힐스테이트1단지				
11680-384	한양7	압구정동	528	1981.0	2	한양7				
11680-3840	네오블로썸	삼성동	42-4	2009.0	1	네오블로썸				
11680-3843	논현웰스톤	논현동	108	2009.0	2	논현웰스톤				
11680-3844	로체샤르캐슬	논현동	114-23	2009.0	1	로체샤르캐슬				
11680-3879	도곡지웰카운티101동	도곡동	199-4	2010.0	2	도곡지웰카운티101동				
11680-3899	마크힐스이스트윙	청담동	130-7	2010.0	1	마크힐스이스트윙				
11680-3905	래미안그레이튼(진달래2차)	역삼동	762-3	2010.0	9	래미안그레이튼진달래2차	417923182.0		2011.0	5.0
11680-3923	삼성동신도브래뉴	삼성동	121-38	2010.0	1	삼성동신도브래뉴				
11680-394	풍림아이원아파트	대치동	910-4	2003.0	1	풍림아이원				
11680-3946	청담4차이-편한세상	청담동	28-20	2011.0	3	청담4차이편한세상				
11680-395	풍림아이원1차103동(910-5)	대치동	910-5	2003.0	1	풍림아이원1차103동9105	443036683.0			3.0
11680-3958	이산	논현동	194-22	2011.0	2	이산				
11680-396	풍림아이원2차202동	대치동	910-6	2003.0	1	풍림아이원2차202동	443037517.0			2.0
11680-3962	도곡쌍용예가	도곡동	933	1978.0	7	도곡쌍용예가	925265486.0		1978.0	5.0
11680-3964	강남신동아파밀리에2단지	세곡동	511	2011.0	2	강남신동아파밀리에2단지				
11680-3965	강남신동아파밀리에1단지	세곡동	508	2011.0	2	강남신동아파밀리에1단지				
11680-400	금호어울림	삼성동	102-2	2003.0	1	금호어울림	1077632510.0		2003.0	3.0
11680-4003	강남데시앙파크	세곡동	525	2011.0	13	강남데시앙파크	382259614.0		2011.0	12.0
11680-401	미켈란107	삼성동	107	2003.0	1	미켈란107				
11680-4036	대명벨리온	역삼동	727-2	2012.0	1	대명벨리온				
11680-404	포스코트	삼성동	146	2003.0	1	포스코트				
11680-4050	강남서해그랑블	역삼동	796-29	2012.0	2	강남서해그랑블				
11680-407	삼부아그레빌	삼성동	98-11	2003.0	3	삼부아그레빌				
11680-4082	상지리츠빌카일룸(65-4)	삼성동	65-4	2012.0	1	상지리츠빌카일룸654	976267586.0			
11680-41	삼환(101동)	청담동	10	1999.0	11	삼환101동				
11680-410	역삼르비앙1	역삼동	835-12	2003.0	1	역삼르비앙1				
11680-411	금호어울림	역삼동	835-67	2003.0	9	금호어울림	1077632510.0		2003.0	3.0
11680-415	현대1차(12,13,21,22,31,32,33동)	압구정동	369-1	1976.0	7	현대1차12132122313233동	900978316.0		1990.0	1.0
