osm_id	name	levels_raw	height_raw	flats_raw	start_date	district	subdistrict	levels	height	flats	built_year	levels_filled	height_filled	building_area_m2	complex_osm_id	complex_name
192695749	209	5		30	1993	강남구	일원동	5.0		30	1993	5.0	14.0	589.2931849333022	548704025.0	상록수아파트
192695759	108					강남구	일원동							718.1524067815485	548704028.0	청솔빌리지아파트
192695761	112					강남구	일원동							567.2475443859969	548704028.0	청솔빌리지아파트
192695763	107					강남구	일원동							718.2112323838661	548704028.0	청솔빌리지아파트
192695765	109					강남구	일원동							718.8076033402016	548704028.0	청솔빌리지아파트
192695766	101					강남구	일원동							629.6680885538424	548704028.0	청솔빌리지아파트
192695767	103					강남구	일원동							561.4037862082803	548704028.0	청솔빌리지아파트
192695770	111					강남구	일원동							622.0123696651183	548704028.0	청솔빌리지아파트
192695773						강남구	일원동							400.4930168990052	548704028.0	청솔빌리지아파트
192695775	106					강남구	일원동							489.358251608953	548704028.0	청솔빌리지아파트
192695777	110					강남구	일원동							718.4258344296445	548704028.0	청솔빌리지아파트
192695779	102					강남구	일원동							629.934003740282	548704028.0	청솔빌리지아파트
192695780	105					강남구	일원동							235.31903649351833	548704028.0	청솔빌리지아파트
192728182	91동	12		131	1981	강남구	압구정동	12.0		131	1981	12.0	33.599999999999994	1270.2290111682412	471724556.0	압구정현대8차아파트
192743492	107동	20	47	80	2007	강남구	삼성동	20.0	47.0	80	2007	20.0	47.0	585.3786895371567	313652588.0	롯데캐슬프레미어아파트
192743495	106동	16	42	62	2007	강남구	삼성동	16.0	42.0	62	2007	16.0	42.0	718.3020917868059	313652588.0	롯데캐슬프레미어아파트
192743499	105동	21	62	82	2007	강남구	삼성동	21.0	62.0	82	2007	21.0	62.0	723.6069253695059	313652588.0	롯데캐슬프레미어아파트
192743502	108동	19	47	76	2007	강남구	삼성동	19.0	47.0	76	2007	19.0	47.0	723.8861611413989	313652588.0	롯데캐슬프레미어아파트
192743506	104동	21	62	84	2007	강남구	삼성동	21.0	62.0	84	2007	21.0	62.0	723.8194436049755	313652588.0	롯데캐슬프레미어아파트
192743508	61동	12		66	1976	강남구	압구정동	12.0		66	1976	12.0	33.599999999999994	1069.7309190921637	432735931.0	현대3차아파트
192743510	102동	22	59	78	2007	강남구	삼성동	22.0	59.0	78	2007	22.0	59.0	592.8190726115986	313652588.0	롯데캐슬프레미어아파트
192743514	63동	12		66	1976	강남구	압구정동	12.0		66	1976	12.0	33.599999999999994	1069.607239545981	432735931.0	현대3차아파트
192743515	103동	21	60	73	2007	강남구	삼성동	21.0	60.0	73	2007	21.0	60.0	693.9640061407697	313652588.0	롯데캐슬프레미어아파트
192743517	이스트윙	38	178	130	2004	강남구	삼성동	38.0	178.0	130	2004	38.0	178.0	1097.1031958246394	614498553.0	삼성동현대아이파크아파트
192743519	웨스트윙	45	200	168	2004	강남구	삼성동	45.0	200.0	168	2004	45.0	200.0	1065.2821041589261	614498553.0	삼성동현대아이파크아파트
