osm_id	name	is_tunnel	geometry
625513372	경부선	False	LINESTRING (126.911101 37.416277, 126.910083 37.417543, 126.909553 37.418199, 126.907595 37.420607, 126.907034 37.421385, 126.905943 37.423367, 126.905174 37.424764, 126.904614 37.425808, 126.904096 37.426782, 126.903936 37.427159, 126.903763 37.427661, 126.903664 37.428009, 126.903562 37.428488, 126.903206 37.430274, 126.902485 37.434082, 126.902266 37.435251, 126.902047 37.436419, 126.901909 37.437135, 126.90176 37.437723, 126.901562 37.438341, 126.901206 37.439228, 126.900304 37.441252, 126.899344 37.443425, 126.898669 37.444956, 126.897482 37.44744, 126.897066 37.448374, 126.896128 37.450621, 126.895589 37.45195)
625513374	경부선	False	LINESTRING (126.893483 37.456396, 126.891872 37.460293, 126.891619 37.460924, 126.891533 37.461123, 126.891205 37.461921, 126.890986 37.462449, 126.890699 37.463117, 126.889842 37.465045, 126.889036 37.46688, 126.887001 37.471446, 126.883637 37.47906, 126.88296 37.480583, 126.882164 37.48238)
772081521	경부선	False	LINESTRING (126.892146 37.50903, 126.891448 37.508736, 126.890829 37.508452, 126.890444 37.508262, 126.889264 37.507622, 126.888247 37.506979, 126.886646 37.505991, 126.885376 37.505215, 126.884718 37.504808, 126.884094 37.50436, 126.883559 37.503899, 126.88167 37.502176, 126.881372 37.501912, 126.881058 37.501554, 126.880784 37.501228, 126.880529 37.500864, 126.88026 37.500432, 126.879982 37.499881, 126.879809 37.499416, 126.879645 37.498825, 126.879539 37.498308, 126.879482 37.497524, 126.87949 37.496957, 126.87958 37.496084, 126.879698 37.494002, 126.879848 37.492076, 126.879929 37.490942, 126.879974 37.490235, 126.880094 37.488362, 126.880166 37.487631, 126.880249 37.487176, 126.880406 37.486721, 126.880682 37.486038, 126.88307 37.480612, 126.883739 37.47909, 126.887118 37.471477, 126.889114 37.466976, 126.889951 37.465071, 126.890763 37.463273, 126.89191 37.460481, 126.8922 37.459765, 126.893613 37.456529, 126.89442 37.454697, 126.894439 37.454656, 126.894641 37.454234, 126.895198 37.452955)
816500833	경부고속선	True	LINESTRING (126.886305 37.419276, 126.888104 37.422531)
876389705	경부고속선	True	LINESTRING (126.888104 37.422531, 126.889376 37.42489, 126.89706 37.438941, 126.897183 37.43917, 126.897581 37.439913)
876389706	경부고속선	True	LINESTRING (126.897658 37.43988, 126.897175 37.438969, 126.889749 37.425438, 126.888258 37.422494)
1033839086		False	LINESTRING (126.893509 37.457245, 126.893522 37.457177)
1033839087		False	LINESTRING (126.897395 37.448184, 126.897637 37.447742)
1033839088		False	LINESTRING (126.89691 37.449386, 126.897019 37.44904)
1033839089		False	LINESTRING (126.894029 37.455019, 126.89383 37.455362, 126.893528 37.456004, 126.892821 37.457584, 126.892526 37.458282, 126.892397 37.458572)
1033839090		False	LINESTRING (126.895013 37.45398, 126.895113 37.453596)
1106033695	광명주박기지선	False	LINESTRING (126.896157 37.431476, 126.8962 37.431614, 126.896285 37.432026)
1106033696	광명주박기지선	False	LINESTRING (126.896121 37.431358, 126.896134 37.431402, 126.896157 37.431476)
1106033697	광명주박기지선	False	LINESTRING (126.896384 37.43201, 126.896316 37.431813, 126.896258 37.431595, 126.896224 37.431473)
1106033698	광명주박기지선	False	LINESTRING (126.896224 37.431473, 126.896177 37.43131)
1412490357		False	LINESTRING (126.898248 37.438069, 126.898019 37.437257, 126.897771 37.436351)
1412490358		False	LINESTRING (126.897771 37.436351, 126.897704 37.436115, 126.897671 37.435998)
1412490359	광명주박기지선	False	LINESTRING (126.896477 37.432248, 126.896452 37.432185, 126.896384 37.43201)
