aptSeq	apt_name	build_year	n_trades	n_dong	n_with_height	total_flats	osm_year_median	max_levels	mean_dist
11680-236	대림역삼	1997.0	5	1.0	1	129	1997.0	18	4.720102590429325
11680-24	구산	1993.0	1	3.0	2	32	2004.5	16	24.70483357320575
11680-249	한화진넥스빌	2001.0	13	2.0	2	327	2000.0	26	35.0868565405981
11680-25	골든아트빌	2000.0	1	2.0	1	0		5	31.62423851836708
11680-251	한스빌(836)	1996.0	7	7.0	7	1304	2010.0	15	70.28436644643902
11680-252	현대까르띠에710	2001.0	5	4.0	4	192	2001.0	26	52.361695022519065
11680-259	현대휴먼터치빌	1999.0	2	3.0	3	635	2021.0	18	57.90117438790441
11680-260	풍림지오빌	2002.0	1	2.0	2	27	2006.0	10	194.81570135855944
11680-266	로얄빌리지	2002.0	1						
11680-267	역삼동하나빌	2002.0	4	5.0	5	431	2016.0	16	77.03701587333146
11680-269	세방하이빌1	2003.0	3	6.0	1	48	2003.0	13	70.23194376689467
11680-274	트레벨	2002.0	4	1.0	0	0			2.053818887221631
11680-275	대우디오빌	2002.0	36	3.0	3	538	2021.0	26	39.40342323069981
11680-276	경남아너스빌	2002.0	8	1.0	1	164	2002.0	17	0.723551026282002
11680-277	경남1	1984.0	5	2.0	2	150	1984.0	15	74.41368834328604
11680-278	경남2차	1984.0	1	2.0	2	168	1984.0	15	61.373773571264906
11680-279	삼익대청아파트	1992.0	31	7.0	7	941	1992.0	15	94.48792105545094
11680-280	성원대치2단지아파트	1992.0	79	11.0	11	1606	1992.0	15	146.33851587784022
11680-283	개포우성3차	1984.0	3	7.0	7	270	1984.0	21	133.9663663582076
11680-285	우성8	1987.0	3	3.0	3	261	1987.0	9	41.03917151184129
11680-290	개포주공6단지	1983.0	16	14.0	14	1496	1983.0	15	145.27362656592138
11680-292	현대1차101동~106동	1984.0	9	13.0	13	815	1984.0	21	113.29642743334577
11680-293	현대2	1986.0	7	9.0	9	473	1986.0	12	132.5279395137527
11680-294	현대아파트3	1986.0	2	6.0	6	288	1986.0	15	88.00653687929982
11680-298	개포현대6차	1993.0	1						
11680-299	가람	1993.0	5	15.0	15	706	1993.0	15	99.93354418242689
11680-3	로데오현대	1998.0	10	1.0	1	222	1998.0	17	6.413718449611104
11680-30	목화	1995.0	2	3.0	3	56	1995.0	13	34.92744088739397
11680-301	목련타운	1993.0	6	4.0	4	324	1993.0	15	59.03209980171145
11680-302	삼성	1986.0	2	5.0	4	80	1986.0	5	93.33646490734832
11680-303	상록수	1993.0	9	33.0	24	906	1993.0	15	187.57551010792304
11680-304	샘터마을	1994.0	10	7.0	7	482	1994.0	15	79.65127744690416
11680-305	수서	1992.0	27	21.0	20	2934	1992.0	15	149.2167774469342
11680-306	우성7	1987.0	5	10.0	10	1267	1987.0	26	94.10364741633171
11680-308	푸른마을아파트101동~111동	1994.0	32	11.0	11	910	1994.0	15	124.45586642257125
11680-309	한솔마을	1994.0	13	19.0	19	570	1994.0	5	151.7945614806661
11680-310	개포한신	1984.0	9	5.0	5	448	1984.0	14	66.97596788378647
11680-311	현대4	1987.0	4	6.0	6	428	1987.0	14	116.49700370535037
11680-314	까치마을	1993.0	92	9.0	9	1519	1993.0	15	112.43390608205243
11680-315	동익	1993.0	4	6.0	6	599	1993.0	15	91.37074923631253
11680-316	삼성	1997.0	11	12.0	12	680	1997.0	15	100.7230221396378
11680-317	삼익	1992.0	20	21.0	21	3789	1992.0	20	154.8717854751964
11680-3176	학동	2005.0	1	1.0	1	39	2005.0	15	200.4897858195155
11680-318	수서한아름	1993.0	7	11.0	11	1713	1993.0	17	164.6824005273686
11680-319	신동아	1992.0	46	6.0	6	894	1992.0	15	77.27517717238067
11680-32	청담동삼성1차(101동)	1997.0	3	1.0	1	158	1997.0	19	0.005284875752499658
11680-320	경남	2005.0	4	4.0	4	348	2005.0	22	48.54559319659078
11680-322	대림	1992.0	1	2.0	2	197	1992.0	14	51.83171153627248
11680-323	대림아크로빌	1999.0	6	2.0	2	490	1999.0	46	27.449880776580134
11680-327	럭키(963)	1995.0	21	4.0	4	599	1995.0	15	109.45620790206402
11680-328	매봉삼성	1999.0	8	2.0	2	132	2002.0	25	42.0322269346476
11680-33	삼성청담아파트	1999.0	5	1.0	1	105	1999.0	18	11.509249641148976
11680-330	삼성	1994.0	3	2.0	2	186	1994.0	12	35.65417870802698
11680-331	삼성래미안	2001.0	9	10.0	10	732	2001.0	24	69.09564074634385
11680-332	삼익	1983.0	3	2.0	2	247	1983.0	13	53.06681059090921
11680-337	우성4	1985.0	3	6.0	6	387	1985.0	9	130.85063359190556
11680-338	우성사원5	1986.0	4	14.0	14	845	1985.5	19	98.44054193885152
11680-339	도곡우성아파트	1986.0	3	2.0	2	390	1986.0	15	56.89516357427453
11680-34	삼성청담공원아파트	1999.0	8	10.0	10	420	1999.0	15	90.95079956799617
11680-340	우성캐릭터199	1998.0	3	3.0	3	297	1998.0	31	64.36670673789632
11680-344	중명하니빌	1997.0	3	2.0	1	111	1997.0	9	79.04720235928275
11680-348	포스코트	2002.0	3	1.0	1	64	2002.0	17	1.0545275855438927
11680-349	한신(개포)	1985.0	19	3.0	3	188	1985.0	9	86.83669563416429
11680-350	한신엠비씨	1988.0	6	5.0	5	421	1988.0	15	85.21084576164584
11680-351	현대아파트1동~3동	1994.0	2	9.0	9	706	1995.0	15	104.07318362208305
11680-352	현대그린1	2006.0	5	1.0	1	171	2006.0	18	27.993671998568978
11680-354	현대비젼21	1999.0	13	2.0	2	279	1998.5	27	26.278192336732886
11680-355	도곡현대힐스테이트103동	1996.0	2	8.0	4	105	1996.0	12	52.28050943987345
11680-3559	선경2차(8동-12동)	1985.0	5	1.0	1	84	1983.0	15	177.67932682794608
11680-3570	역삼동월드메르디앙	2005.0	1	1.0	1	93	2005.0	12	24.596681809553083
11680-3574	휴먼스타빌	2005.0	1	2.0	1	191	2005.0	27	88.88826656746893
11680-3578	대우멤버스카운티301	2005.0	1	3.0	0	0			82.62953192373651
11680-3583	삼성웰피아	2005.0	1	2.0	0	0			16.318139172255833
11680-3592	e-편한세상	2005.0	5	2.0	2	273	2010.0	17	63.9525313063716
11680-3600	파크힐	2005.0	4	3.0	3	72	2006.0	13	60.327943731461936
11680-3621	역삼래미안	2005.0	17	16.0	16	1348	2005.0	25	112.28372548148354
11680-3622	e-편한세상	2005.0	15	5.0	5	368	2005.0	24	47.457196571522914
11680-3623	도곡렉슬	2006.0	67	28.0	28	2240	2006.0	25	159.4523691212496
11680-3624	래미안삼성1차(105-0)	2005.0	5	3.0	3	109	2006.0	15	119.43587021575587
11680-3626	강남한솔	2006.0	1						
11680-3628	블루밍하우스	2006.0	1						
11680-3633	청담2차이-편한세상(204동)	2005.0	5	5.0	3	164	2006.0	15	70.55187183856518
11680-364	타워팰리스1	2002.0	14	3.0	3	920	2002.0	66	68.23137904078696
11680-3641	삼성동롯데캐슬킹덤	2005.0	3	3.0	3	118	2005.0	13	54.23076938422968
11680-3643	역삼푸르지오	2006.0	19	9.0	9	600	2006.0	24	66.65588086962026
11680-3645	삼성동신영지웰	2005.0	2	2.0	2	36	2016.5	17	103.53110441951301
11680-3647	SK허브프리모	2006.0	11	4.0	4	612	2022.5	22	161.99567056977716
11680-365	타워팰리스2	2003.0	9	3.0	3	1188	2003.0	59	79.08837207393819
11680-3651	래미안삼성1차(103-22)	2006.0	3	7.0	6	178	2006.0	15	54.957887699744006
11680-3660	우찬현대(1260-2)	2006.0	2						
11680-3665	영무예다음	2006.0	1	2.0	2	45	2006.0	9	19.012557228808145
11680-3667	동양파라곤	2006.0	3	4.0	4	250	2006.0	18	80.18290275672621
11680-3672	신성미소시티	2006.0	1	2.0	2	90	2005.0	18	58.93233296913999
11680-3678	개나리푸르지오	2006.0	7	8.0	8	503	2006.0	25	79.95902139543719
11680-3679	역삼I'PARK	2006.0	21	4.0	4	382	2006.0	21	59.69190834606435
11680-368	삼호빌라B동	1997.0	1	5.0	4	70	1997.0	14	100.12944920579916
11680-3680	개나리래미안	2006.0	4	6.0	6	387	2006.0	22	61.27183745371096
11680-3683	역삼디오슈페리움	2006.0	1	27.0	27	4869	2014.0	34	180.38251616308938
11680-3686	래미안삼성1차(201동)	2006.0	1	4.0	3	169	2006.0	20	136.91456576696748
11680-3690	논현프라임아파트	2006.0	1						
11680-3697	선릉역풍림아이원레몬	2006.0	1	3.0	3	803	2004.0	22	32.075998647103525
11680-3698	삼환SOGOOD	2006.0	1	1.0	1	37	2006.0	15	7.937081892905557
11680-3704	청담2차이-편한세상(205동)	2006.0	1	2.0	2	60	2006.0	12	37.94735287011263
11680-3705	한화꿈에그린2차	2006.0	2	1.0	0	0			2.5808652672908505
11680-3709	채널리저브	2007.0	1	6.0	6	779	2007.0	23	131.29639320284062
11680-371	개포2차현대아파트(220)	1988.0	2	11.0	11	322	1986.0	21	115.02770976371681
11680-372	개포우성1	1983.0	8	2.0	2	120	1983.5	15	138.97691982742865
11680-3721	쎄비앙102동	2007.0	1	2.0	0	0			12.253458997313366
11680-3722	쌍용플레티넘밸류	2007.0	7	12.0	12	923	2007.0	21	158.89005282054742
11680-3726	논현파라곤	2007.0	5	3.0	3	288	2007.0	20	64.51613119510581
11680-3728	롯데캐슬노블	2007.0	11	2.0	2	117	2007.0	15	36.04720107120189
11680-373	쌍용대치아파트1동,2동,3동,5동,6동	1983.0	8	6.0	6	742	1983.0	15	91.6712917655163
11680-3730	논현동월드메르디앙	2007.0	2	1.0	1	82	2007.0	13	3.6350940246736823
11680-3731	도곡스타클래스	2007.0	9	4.0	4	239	2006.5	20	88.14049661356023
11680-3732	래미안삼성2차	2007.0	8	13.0	13	634	2007.0	24	90.31886029752776
11680-3733	롯데캐슬프레미어	2007.0	14	7.0	7	424	2007.0	22	100.09996897825977
11680-3734	도곡1차아이파크	2007.0	3	7.0	6	374	2007.0	27	132.35629989779332
11680-3739	롯데캐슬리베	2008.0	3	7.0	7	802	2006.0	25	164.74916860926106
11680-3741	도곡3차아이파크	2007.0	1	3.0	3	72	2007.0	9	51.01039781114873
11680-3752	대치아이파크	2008.0	13	12.0	12	862	2008.0	25	121.97074490679454
11680-3760	역삼2차아이파크	2008.0	3	4.0	4	169	2008.0	26	45.61176792021707
11680-3766	래미안펜타빌	2007.0	5	7.0	7	399	2007.0	24	78.28629549972018
11680-3773	청담3차이-편한세상(301동)	2007.0	2	1.0	1	49	2007.0	9	0.03011557778820089
11680-378	한양1차(영동한양)	1977.0	14	13.0	13	1104	1978.0	13	87.4003466873026
11680-3780	하이캐슬	2008.0	1	2.0	1	49	2008.0	11	21.753709020195235
11680-379	한양2	1978.0	3	5.0	5	314	1978.0	12	83.47887513022422
11680-380	한양3	1978.0	6						
11680-381	한양4	1978.0	2						
11680-382	한양5	1979.0	1	7.0	7	559	1979.0	15	82.99216496957231
