apt_seq	area_type	deal_ym	n_trades	median_price_per_m2
11110-2203	147.0	202305	1	1184.317996188402
11110-2203	147.0	202306	1	1157.0922951265995
11110-2203	147.0	202407	1	1187.7212088211272
11110-2203	147.0	202411	2	1332.2843956331462
11110-2203	147.0	202503	1	1395.3171794173702
11110-2203	147.0	202506	1	1347.672202559216
11110-2203	147.0	202509	1	1429.349305744623
11110-2203	147.0	202510	1	1408.9300299482713
11110-2203	147.0	202512	1	1613.122787911789
11110-2203	147.0	202601	1	1697.1013508926753
11110-2203	147.0	202602	1	1415.736455213722
11110-2203	147.0	202603	1	1701.6063163626466
11110-2203	147.0	202604	1	1756.0577184862511
11110-2203	147.0	202605	1	1565.4778110536347
11110-2203	147.0	202607	1	1701.6063163626466
11110-2203	147.0	202608	1	1764.9854049283822
11110-2203	153.0	202312	1	1179.1054607733352
11110-2203	153.0	202406	1	1304.2619063302814
11110-2203	153.0	202506	2	1366.8401291087544
11110-2203	153.0	202604	1	1442.5927145774324
11110-2203	159.0	202204	1	1088.1187496068935
11110-2203	159.0	202206	1	1163.595194666331
11110-2203	159.0	202307	1	1314.3827432236967
11110-2203	159.0	202309	1	1257.9407509906282
11110-2203	159.0	202310	2	1171.3890912993515
11110-2203	159.0	202311	1	1257.7825294006666
11110-2203	159.0	202402	1	1194.8934029306333
11110-2203	159.0	202504	1	1415.1833448644568
11110-2203	159.0	202511	1	949.7452669979243
11110-2203	159.0	202601	1	1383.734826089691
11110-2203	162.0	202304	1	1181.2247435498912
11110-2203	162.0	202305	1	1150.1398818775258
11110-2203	162.0	202506	1	1243.3944668946224
11110-2203	162.0	202509	1	1274.479328566988
11110-2203	162.0	202602	1	1355.2999689151384
11110-2204	144.0	202109	1	1141.710489897592
11110-2204	144.0	202505	1	1363.1331303625795
11110-2204	150.0	202109	1	1130.3191489361702
11110-2204	150.0	202502	1	1392.9521276595744
11110-2204	150.0	202507	1	1356.3829787234042
11110-2204	153.0	202310	1	1003.780471907183
11110-2204	153.0	202410	2	1361.6216920870813
11110-2204	153.0	202512	1	1368.791552600704
11110-2204	162.0	202301	1	1224.514786016041
11110-2204	162.0	202410	1	1285.740525316843
11110-2212	60.0	202401	1	1683.5297451369327
11110-2212	60.0	202402	1	1616.855299784975
11110-2212	60.0	202403	1	1700.198356474922
11110-2212	60.0	202406	1	1750.2041904888904
11110-2212	60.0	202412	1	1716.8669678129115
11110-2212	60.0	202504	1	1683.5297451369327
11110-2212	60.0	202506	1	1933.5589152067741
11110-2212	60.0	202507	1	1983.5647492207424
11110-2212	60.0	202508	1	2066.9078059106896
11110-2212	60.0	202509	1	1783.5414131648693
11110-2212	60.0	202607	1	2475.2887836914306
11110-2212	84.0	202201	1	1648.636545758797
11110-2212	84.0	202202	1	1590.8930212826133
11110-2212	84.0	202203	2	1585.0008249074924
11110-2212	84.0	202205	1	1590.8930212826133
11110-2212	84.0	202303	1	1767.6589125362368
11110-2212	84.0	202305	1	1414.1271300289895
11110-2212	84.0	202306	2	1529.0249593438448
11110-2212	84.0	202309	1	1543.755450281647
11110-2212	84.0	202402	2	1390.5583445285065
11110-2212	84.0	202404	1	1567.32423578213
11110-2212	84.0	202405	2	1514.294468406043
11110-2212	84.0	202406	3	1390.5583445285063
11110-2212	84.0	202407	3	1414.1271300289895
11110-2212	84.0	202408	1	1626.2461995333379
11110-2212	84.0	202409	1	1025.2421692710175
11110-2212	84.0	202410	4	1549.6476466567676
11110-2212	84.0	202501	2	1496.6178792806807
11110-2212	84.0	202502	5	1590.8930212826133
11110-2212	84.0	202503	7	1590.8930212826133
11110-2212	84.0	202504	2	1514.294468406043
11110-2212	84.0	202505	5	1531.9710575314052
11110-2212	84.0	202506	10	1587.9469230950529
11110-2212	84.0	202508	2	1596.785217657734
11110-2212	84.0	202509	8	1645.6904475712365
11110-2212	84.0	202510	5	1563.7889179570575
11110-2212	84.0	202601	1	1579.1086285323715
11110-2212	84.0	202602	5	1830.1161941125174
11110-2212	84.0	202603	4	1773.5511089113577
11110-2212	84.0	202604	1	1861.9340545381694
11110-2212	84.0	202605	1	1820.688679912324
11110-2212	84.0	202606	1	1848.9712225129038
11110-2212	84.0	202607	1	1885.5028400386527
11110-2212	114.0	202109	1	1313.8317773272659
11110-2212	114.0	202204	1	1426.9431223951763
11110-2212	114.0	202205	1	1392.13963160505
11110-2212	114.0	202301	1	1352.985704466158
11110-2212	114.0	202306	1	1374.737886209987
11110-2212	114.0	202309	1	1331.233522722329
11110-2212	114.0	202405	1	1379.0883225587527
11110-2212	114.0	202407	2	1246.4000139213963
11110-2212	114.0	202410	1	1300.7804682809685
11110-2212	114.0	202412	1	1252.925668444545
11110-2212	114.0	202502	1	1261.6265411420766
11110-2212	114.0	202505	2	1316.0069955016488
11110-2212	114.0	202506	5	1292.0795955834371
11110-2212	114.0	202508	1	1348.6352681173921
11110-2212	114.0	202509	1	1318.1822136760318
11110-2212	114.0	202510	2	1276.8530683627569
11110-2212	114.0	202601	1	1331.233522722329
11110-2212	114.0	202602	1	1422.5926860464106
11110-2212	114.0	202603	1	1592.259703648276
11110-2212	156.0	202204	1	1532.2114070278278
11110-2212	156.0	202403	1	1144.3902625104108
11110-2212	156.0	202502	1	1144.3902625104108
11110-2212	156.0	202504	1	1239.7561177196117
11110-2212	156.0	202602	1	1303.3333545257458
11110-2223	117.0	202109	1	991.1229854348013
