aptSeq	apt_name	gu	confidence	n_dong	reg_dong	dong_diff	reg_units	build_year	reg_year	reg_name	n_deals	단지고유번호
11740-421	하나플러스ll	강동구	LOW	1.0	3.0	-2.0	90.0	2004.0	2004.0	하나플러스ll	35	11740100448552
11170-93	시범	용산구	MIXED	2.0	4.0	-2.0	120.0	1970.0	1970.0	시범	72	11170100000899
11350-48	한신3차	노원구	HIGH	3.0	5.0	-2.0	348.0	1990.0	1990.0	한신3차	107	11350100002520
11305-46	삼각산아이원	강북구	NAME	18.0	20.0	-2.0	1344.0	2003.0	2003.0	삼각산아이원	604	11305100050571
11680-601	동부센트레빌	강남구	NAME	5.0	7.0	-2.0	805.0	2005.0	2005.0	동부센트레빌	206	11680100257609
11410-4818	DMC에코자이	서대문구	NAME	9.0	11.0	-2.0	1047.0	2019.0	2019.0	DMC에코자이	724	11410120396454
11440-47	창전래미안	마포구	MIXED	9.0	11.0	-2.0	951.0	1998.0	1998.0	창전래미안	281	11440100000728
11440-40	신촌삼익	마포구	NAME	2.0	4.0	-2.0	391.0	1997.0	1997.0	신촌삼익	228	11440100000721
11380-8723	구파발10단지어울림(1011~1019동)BL3-1	은평구	MIXED	7.0	9.0	-2.0	334.0	2010.0	2010.0	구파발10단지어울림(1011~1019동)BL3-1	137	11380120133493
11470-119	목동신시가지10	양천구	NAME	32.0	34.0	-2.0	2160.0	1987.0	1987.0	목동신시가지10	1231	11470100003275
11380-8728	구파발10단지어울림(1001~1010동)장기전세BL3-4	은평구	NAME	8.0	10.0	-2.0	423.0	2010.0	2010.0	구파발10단지어울림(1001~1010동)장기전세BL3-4	296	11380120133556
11410-109	DMC현대아파트	서대문구	LEVEL_MISMATCH	1.0	3.0	-2.0	213.0	2000.0	2000.0	DMC현대아파트	104	11410100000568
11470-190	현대I-PARK	양천구	LOW	2.0	4.0	-2.0	171.0	2003.0	2003.0	현대I-PARK	92	11470100051365
11380-8507	마고정3단지센트레빌(323~335동)BL2-2	은평구	NAME	11.0	13.0	-2.0	434.0	2009.0	2009.0	마고정3단지센트레빌(323~335동)BL2-2	227	11380120125063
11380-8515	우물골2단지두산위브(223~244동)BL2-7	은평구	NAME	20.0	22.0	-2.0	472.0	2010.0	2010.0	우물골2단지두산위브(223~244동)BL2-7	147	11380120125702
11560-115	우성5	영등포구	LOW	1.0	3.0	-2.0	321.0	1993.0	1993.0	우성5	130	11560100001061
11560-110	신미	영등포구	MIXED	2.0	4.0	-2.0	130.0	1981.0	1981.0	신미	37	11560100001056
11545-39	벽산	금천구	NAME	16.0	18.0	-2.0	2336.0	2000.0	2000.0	벽산	660	11545100003511
11380-8393	박석고개1단지힐스테이트(112~115동)BL2-13	은평구	NAME	2.0	4.0	-2.0	162.0	2008.0	2008.0	박석고개1단지힐스테이트(112~115동)BL2-13	42	11380120117539
11380-8503	우물골2단지두산위브(245~255동)BL2-6	은평구	NAME	9.0	11.0	-2.0	353.0	2009.0	2009.0	우물골2단지두산위브(245~255동)BL2-6	107	11380120125059
11380-8504	우물골2단지두산위브(201~203동)BL2-4	은평구	NAME	1.0	3.0	-2.0	143.0	2009.0	2009.0	우물골2단지두산위브(201~203동)BL2-4	111	11380120125060
11380-8596	폭포동4단지힐스테이트(401~407동)임대BL2-10	은평구	NAME	5.0	7.0	-2.0	297.0	2010.0	2010.0	폭포동4단지힐스테이트(401~407동)임대BL2-10	290	11380120129945
11620-59	신안	관악구	LEVEL_MISMATCH	4.0	6.0	-2.0	120.0	1978.0	1978.0	신안	74	11620100002168
11380-8666	은평뉴타운 제각말 푸르지오(5-4단지)	은평구	NAME	12.0	14.0	-2.0	412.0	2010.0	2010.0	제각말5단지푸르지오(529~542동)BL2-9	223	11380120131724
11380-8667	은평뉴타운 제각말 푸르지오(5-2단지)	은평구	NAME	6.0	8.0	-2.0	175.0	2010.0	2010.0	제각말5단지푸르지오(514~521동)BL3-7	66	11380120131731
11380-2	대림아파트(276)	은평구	LOW	1.0	3.0	-2.0	370.0	1993.0	1993.0	대림아파트(276)	239	11380100000575
11290-50	정릉중앙하이츠아파트	성북구	LOW	2.0	4.0	-2.0	261.0	1999.0	1999.0	정릉중앙하이츠아파트	85	11290100000338
11650-117	신반포2	서초구	NAME	11.0	13.0	-2.0	1572.0	1978.0	1978.0	신반포2	1226	11650100002786
11320-21	한양2	도봉구	MIXED	7.0	9.0	-2.0	1635.0	1988.0	1988.0	한양2	817	11320100000387
11320-3414	송학휴스테이	도봉구	NAME	1.0	3.0	-2.0	134.0	2016.0	2016.0	송학휴스테이	45	11320120347367
