apt_seq	floor_band	repr_floor	obs_height	sun_hours_winter	sun_hours_spring	view_block_pct	open_angle_mean	open_span_max	river_view	park_view	mountain_view
11140-1319	HIGH			5.58		55.6	79.2				
11140-1319	LOW			3.58		80.6	66.9				
11140-1319	MID			4.0		76.4	74.5				
11140-1321	HIGH			4.17		45.8	76.3				
11140-1321	LOW			2.08		87.5	56.0				
11140-1321	MID			2.58		75.0	62.6				
11140-1330	HIGH			7.58		41.7	75.1				
11140-1330	LOW			5.92		90.3	63.4				
11140-1330	MID			6.92		80.6	69.5				
11140-1333	HIGH			7.17		29.2	82.0				
11140-1333	LOW			4.75		77.8	65.6				
11140-1333	MID			5.58		72.2	73.7				
11140-1350	HIGH			5.58		66.7	69.2				
11140-1350	LOW			4.08		80.6	53.2				
11140-1350	MID			5.25		80.6	57.0				
11140-1355	HIGH			6.17		45.8	88.9				
11140-1355	LOW			3.25		77.8	70.6				
11140-1355	MID			4.0		62.5	77.4				
11140-1364	HIGH			4.33		63.9	77.8				
11140-1364	LOW			2.58		88.9	64.4				
11140-1364	MID			2.83		75.0	69.7				
11140-1370	HIGH			6.33		22.2	92.1				
11140-1370	LOW			5.58		45.8	80.6				
11140-1370	MID			5.58		25.0	85.9				
11140-1380	HIGH			7.33		70.8	72.7				
11140-1380	LOW			3.75		94.4	64.5				
11140-1380	MID			4.5		90.3	68.2				
11140-14	HIGH			5.83		38.9	78.0				
11140-14	LOW			3.0		68.1	70.4				
11140-14	MID			3.58		55.6	73.1				
11140-1402	HIGH			5.17		38.9	91.4				
11140-1402	LOW			2.25		52.8	64.2				
11140-1402	MID			2.25		51.4	70.7				
11140-1403	HIGH			7.75		27.8	96.6				
11140-1403	LOW			0.33		80.6	59.1				
11140-1403	MID			1.33		56.9	75.4				
11140-15	HIGH			8.08		13.9	97.4				
11140-15	LOW			7.0		70.8	78.7				
11140-15	MID			8.08		54.2	83.2				
11140-1506	HIGH			8.0		16.65	94.6				
11140-1506	LOW			5.625		61.1	71.15				
11140-1506	MID			6.165		46.5	78.55				
11140-1520	HIGH			8.08		12.5	101.4				
