aptSeq	apt_name	umd_name	jibun	road_nm	road_bon	road_bub	build_year	n_trades	addr_road	addr_jibun	lon	lat	geocode_source	cluster_id	n_dong	cluster_year
11680-419	현대5차(71,72동)	압구정동	455	압구정로29길	00068	00000	1977.0	6	서울 강남구 압구정로29길 68	서울 강남구 압구정동 455	127.029186511113	37.5325363787069	road	82.0	52.0	1978.0
11680-4197	삼성동라테라스	삼성동	110-2	봉은사로	00645	00000	2013.0	1	서울 강남구 봉은사로 645	서울 강남구 삼성동 110-2	127.065797536254	37.515549475602	road	247.0	27.0	2005.0
11680-4199	강남엘에이치1단지	세곡동	579	헌릉로571길	00020	00000	2013.0	28	서울 강남구 헌릉로571길 20	서울 강남구 세곡동 579	127.102101820568	37.4670982362638	road	338.0	12.0	2013.0
11680-420	현대6차(78~81,83,84,86,87동)	압구정동	456	압구정로	00201	00000	1978.0	5	서울 강남구 압구정로 201	서울 강남구 압구정동 456	127.029261128897	37.5315299419058	road	82.0	52.0	1978.0
11680-4202	한양수자인어반게이트	논현동	221-7	봉은사로29길	00035	00000	2013.0	2	서울 강남구 봉은사로29길 35	서울 강남구 논현동 221-7	127.033566582089	37.5095984751871	road			
11680-421	현대7차(73~77,82,85동)	압구정동	456	압구정로	00201	00000	1979.0	4	서울 강남구 압구정로 201	서울 강남구 압구정동 456	127.029261128897	37.5315299419058	road	82.0	52.0	1978.0
11680-422	현대8차(성수현대:91~95동)	압구정동	481	압구정로	00309	00000	1980.0	12	서울 강남구 압구정로 309	서울 강남구 압구정동 481	127.03561621786	37.5318919305198	road	138.0	38.0	1978.0
11680-423	신현대9차	압구정동	426	압구정로	00151	00000	1982.0	14	서울 강남구 압구정로 151	서울 강남구 압구정동 426	127.024454982256	37.5267858196588	road	81.0	27.0	1982.0
11680-425	신현대11차	압구정동	433	압구정로	00151	00000	1983.0	18	서울 강남구 압구정로 151	서울 강남구 압구정동 433	127.024454982256	37.5267858196588	road	81.0	27.0	1982.0
11680-426	신현대12차	압구정동	434	압구정로	00151	00000	1982.0	22	서울 강남구 압구정로 151	서울 강남구 압구정동 434	127.024454982256	37.5267858196588	road	81.0	27.0	1982.0
11680-427	현대13차(208~211동)	압구정동	448	압구정로29길	00023	00000	1983.0	4	서울 강남구 압구정로29길 23	서울 강남구 압구정동 448	127.027364437492	37.5298193048425	road	82.0	52.0	1978.0
11680-428	현대14차(203,204,205,206동)	압구정동	447	압구정로29길	00057	00000	1987.0	9	서울 강남구 압구정로29길 57	서울 강남구 압구정동 447	127.026936731619	37.5312337952168	road	82.0	52.0	1978.0
11680-4284	청담신원아침도시마인	청담동	122-35	도산대로85길	00030	00000	2013.0	5	서울 강남구 도산대로85길 30	서울 강남구 청담동 122-35	127.049680036198	37.526439666489	road	190.0	41.0	1999.0
11680-4291	래미안청담로이뷰	청담동	134	영동대로142길	00016	00000	1992.0	7	서울 강남구 영동대로142길 16	서울 강남구 청담동 134	127.056409185627	37.5247603297912	road	233.0	1.0	1992.0
11680-4292	청담아이파크	청담동	130	영동대로142길	00025	00000	1992.0	4	서울 강남구 영동대로142길 25	서울 강남구 청담동 130	127.055097277182	37.5252558695976	road	232.0	4.0	2001.0
11680-4293	래미안대치하이스턴	대치동	985	도곡로93길	00012	00000	1989.0	3	서울 강남구 도곡로93길 12	서울 강남구 대치동 985	127.065474666225	37.5015123626981	road	242.0	38.0	2021.0
11680-4296	테헤란아이파크	역삼동	709-5	테헤란로52길	00016	00000	2014.0	8	서울 강남구 테헤란로52길 16	서울 강남구 역삼동 709-5	127.046384009751	37.5025006142352	road	154.0	108.0	2006.0
11680-4297	래미안포레	자곡동	687	밤고개로21길	00025	00000	2014.0	6	서울 강남구 밤고개로21길 25	서울 강남구 자곡동 687	127.107644379249	37.4750475248595	road	363.0	45.0	2014.0
11680-4298	강남한양수자인(4단지)	자곡동	686	자곡로	00260	00000	2014.0	19	서울 강남구 자곡로 260	서울 강남구 자곡동 686	127.111752118301	37.4765634437989	road	363.0	45.0	2014.0
11680-431	비쥬힐	논현동	39-10	학동로21길	00023	00000	2003.0	1	서울 강남구 학동로21길 23	서울 강남구 논현동 39-10	127.027320959707	37.5148347392574	road	75.0	5.0	2022.0
11680-4319	래미안강남힐즈	자곡동	611	자곡로	00101	00000	2014.0	51	서울 강남구 자곡로 101	서울 강남구 자곡동 611	127.09580546288	37.4726550843713	road	322.0	20.0	2014.0
11680-4324	강남데시앙포레	수서동	795	광평로34길	00055	00000	2014.0	15	서울 강남구 광평로34길 55	서울 강남구 수서동 795	127.092172324649	37.4808560783316	road	312.0	14.0	2014.0
11680-433	필로스(193-45)	도곡동	193-45	남부순환로381길	00057	00000	2004.0	1	서울 강남구 남부순환로381길 57	서울 강남구 도곡동 193-45	127.044305346444	37.4869834611021	road	146.0	12.0	1994.0
11680-4332	강남자곡아이파크	자곡동	602	자곡로	00175	00000	2014.0	17	서울 강남구 자곡로 175	서울 강남구 자곡동 602	127.102642242027	37.4742742244507	road	339.0	17.0	2014.0
11680-434	LG선릉에클라트(A)	삼성동	142-7	선릉로100길	00042	00000	2003.0	6	서울 강남구 선릉로100길 42	서울 강남구 삼성동 142-7	127.050848399493	37.5065447414109	road	202.0	2.0	2022.5
11680-4341	강남브리즈힐(토지임대부아파트)	자곡동	618	자곡로3길	00045	00000	2014.0	18	서울 강남구 자곡로3길 45	서울 강남구 자곡동 618	127.090660021074	37.472243237996	road	311.0	28.0	2013.0
11680-435	우성리빙텔	도곡동	467-10	언주로30길	00027	00000	1996.0	2	서울 강남구 언주로30길 27	서울 강남구 도곡동 467-10	127.052589523324	37.4884226678469	road	197.0	6.0	2002.0
11680-4356	아크로힐스논현	논현동	276-1	언주로	00604	00000	2014.0	11	서울 강남구 언주로 604	서울 강남구 논현동 276-1	127.038421201117	37.5095303215604	road	162.0	4.0	2014.0
11680-436	연세리버테라스	청담동	102	선릉로190길	00064	00000	2003.0	1	서울 강남구 선릉로190길 64	서울 강남구 청담동 102	127.046649802674	37.5288873925075	road	190.0	41.0	1999.0
11680-4364	청담스위트	청담동	34-13	학동로73길	00013	00000	2015.0	2	서울 강남구 학동로73길 13	서울 강남구 청담동 34-13	127.04732781145	37.519219367347	road	167.0	93.0	2007.0
11680-4375	강남자곡 힐스테이트	자곡동	619	자곡로3길	00021	00000	2015.0	58	서울 강남구 자곡로3길 21	서울 강남구 자곡동 619	127.088231183221	37.4718526866405	road			
11680-439	은탑리더스카운티	논현동	44-6	학동로9길	00015	00000	2003.0	2	서울 강남구 학동로9길 15	서울 강남구 논현동 44-6	127.023921750971	37.5131664568558	road	74.0	11.0	1997.0
11680-4394	래미안대치팰리스	대치동	1027	삼성로51길	00037	00000	2015.0	30	서울 강남구 삼성로51길 37	서울 강남구 대치동 1027	127.057697682666	37.4934361918055	road	218.0	43.0	2015.0
11680-4398	강남한신휴플러스6단지	율현동	365	밤고개로26길	00050	00000	2015.0	9	서울 강남구 밤고개로26길 50	서울 강남구 율현동 365	127.104821314643	37.4678110775324	road	361.0	12.0	2015.0
11680-4399	강남한신휴플러스8단지	율현동	513	밤고개로27길	00020	00000	2015.0	1	서울 강남구 밤고개로27길 20	서울 강남구 율현동 513	127.109766293616	37.4709019186514	road	362.0	11.0	2015.0
11680-442	월드쉐르빌	논현동	138-9	강남대로124길	00051	00000	2003.0	1	서울 강남구 강남대로124길 51	서울 강남구 논현동 138-9	127.02606756469	37.5102789146799	road			
11680-447	한양팰리스	대치동	941-13	삼성로61길	00009	00000	2004.0	1	서울 강남구 삼성로61길 9	서울 강남구 대치동 941-13	127.059726171779	37.4991980216727	road	241.0	1.0	
11680-4474	한라비발디	도곡동	972	남부순환로365길	00033	00000	2016.0	1	서울 강남구 남부순환로365길 33	서울 강남구 도곡동 972	127.039061237416	37.4880001165609	road	106.0	46.0	1995.0
11680-449	상지리츠빌	개포동	176-1	개포로	00405	00000	2003.0	1	서울 강남구 개포로 405	서울 강남구 개포동 176-1	127.060273615454	37.4872157015842	road	237.0	10.0	1986.5
