model	term	coefficient_log_price	cluster_robust_se	coefficient_ci95_low	coefficient_ci95_high	p_value	price_change_pct_per_unit	price_change_pct_ci95_low	price_change_pct_ci95_high	physical_feature	interpretation
F_M3_all_physical (train only)	bjd_code_15100.0	-0.25296501	0.069390085	-0.38896958	-0.11696045	0.0002668207	-22.350495	-32.224511	-11.037962	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_15400.0	0.014724521	0.056184623	-0.095397339	0.12484638	0.7932645	1.4833461	-9.0988323	13.297439	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_15600.0	0.32895953	0.073159471	0.18556697	0.4723521	6.909018e-06	38.952162	20.390082	60.376196	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_15700.0	-0.4193256	0.05311911	-0.52343905	-0.31521214	2.925045e-15	-34.250992	-40.752053	-27.036593	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_16000.0	0.02905405	0.048394513	-0.065799197	0.1239073	0.54826745	2.9480236	-6.3681138	13.191093	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_16200.0	-0.18163014	0.084249531	-0.34675922	-0.016501058	0.03109465	-16.609029	-29.302447	-1.6365661	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_16300.0	-0.33728561	0.10828324	-0.54952076	-0.12505047	0.0018404094	-28.629503	-42.277362	-11.754763	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_16500.0	-0.15285249	0.06361951	-0.27754673	-0.028158248	0.016278806	-14.174368	-24.235984	-2.7765499	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_16600.0	-0.11394583	0.050128464	-0.21219762	-0.015694038	0.023021578	-10.769371	-19.119515	-1.5571528	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_16700.0	0.12848433	0.095161613	-0.05803243	0.31500109	0.17696154	13.71036	-5.6380655	37.026081	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
F_M3_all_physical (train only)	bjd_code_16800.0	0.26780626	0.12761168	0.017687356	0.51792516	0.035851916	30.709388	1.7844703	67.854133	False	1단위 증가(이진 변수는 0→1) 시 가격 변화율
