complex_osm_id	complex_name	n_buildings	n_with_height	total_flats	n_with_flats	built_year	max_levels	subdistrict	flats_complete	height_complete
884138627.0	청담래미안로이뷰아파트	1	1	177	1	1992.0	16.0	청담동	True	True
884138629.0	청담 린든그로브	5	5	114	5	2017.0	7.0	청담동	True	True
888051963.0	대림아크로빌	2	2	490	2	1999.0	46.0	도곡동	True	True
895482734.0	삼성아파트	4	4	254	4	1994.0	12.0	도곡동	True	True
896105535.0	삼성사원아파트	4	4	80	4	1986.0	5.0	일원동	True	True
898326942.0	삼성동 청구아파트	3	3	167	3	1992.0	15.0	삼성동	True	True
899351930.0	현대4차아파트	1	1	142	1	1987.0	13.0	일원동	True	True
899351931.0	개포한신아파트	4	4	364	4	1984.0	14.0	일원동	True	True
899691115.0	선경1차아파트	7	7	643	7	1983.0	15.0	대치동	True	True
899691119.0	선경2차아파트	5	5	390	5	1983.0	15.0	대치동	True	True
899691151.0	대치삼성3차아파트	2	2	0	0		8.0	대치동	False	True
899719392.0	자양현대3차아파트	2	2	439	2	1996.0	23.0		True	True
899909561.0	아크로빌아파트	2	0	0	0			대치동	False	False
900203721.0	역삼2차아이파크아파트	3	3	150	3	2008.0	26.0		True	True
900203755.0	대치푸르지오써밋아파트	9	9	482	9	2023.0	18.0		True	True
900203758.0	대치르엘아파트	6	6	273	6	2021.0	15.0		True	True
900978316.0	현대1차아파트	1	1	120	1	1990.0	15.0	대치동	True	True
901606901.0	올림픽훼미리타운아파트 3단지	10	10	750	10	1988.0	15.0		True	True
901606902.0	올림픽훼미리타운아파트 1단지	12	12	1080	12	1988.0	15.0	문정동	True	True
902159274.0	청구강변아파트	2	2	293	2	1994.5	21.0		True	True
903231083.0	구의현대2단지아파트	15	15	1606	15	1996.0	27.0		True	True
903231085.0	현대프라임아파트	15	15	1592	15	1997.0	30.0		True	True
903623357.0	로얄동아아파트	4	4	322	4	1999.0	25.0		True	True
903986660.0	하이캐슬아파트	2	1	49	1	2008.0	11.0	대치동	False	False
910465735.0	양재 우성아파트	12	12	998	12	1991.0	15.0		True	True
925265461.0	역삼럭키아파트	10	10	1094	10	1995.0	15.0	도곡동	True	True
925265486.0	도곡쌍용예가클래식아파트	5	5	384	5	1978.0	13.0	도곡동	True	True
925265488.0	도곡현대아파트	3	3	211	3	1994.0	15.0	도곡동	True	True
925265491.0	도곡한신아파트	5	5	421	5	1988.0	15.0	도곡동	True	True
925265492.0	도곡대림아파트	2	2	197	2	1992.0	14.0	도곡동	True	True
933325901.0	광진트라팰리스	2	2	204	2	2006.0	29.0	자양동	True	True
935013452.0	문정라온빌	2	0	0	0			문정동	False	False
938748246.0	현대슈퍼빌아파트	4	4	0	0	2003.0	46.0		False	True
939568523.0	서초한신플러스타운아파트	1	1	108	1	2001.0	15.0	서초동	True	True
939568527.0	서초경남 아너스빌	2	2	141	2	2005.5	15.0		True	True
939568557.0	서초아트자이	4	4	164	4	2009.0	25.0		True	True
939568563.0	서초센트럴아이파크	2	2	318	2	2020.0	33.0		True	True
967846319.0	래미안신사아파트	1	1	63	1	2008.0	12.0	신사동	True	True
967848263.0	아크로삼성아파트	4	4	0	0	2025.0	25.0		False	True
972154304.0	송파해모로아파트	3	3	114	3	2006.0	11.0	풍납동	True	True
972154305.0	송파현대힐스테이트	2	2	166	2	2006.0	12.0		True	True
972154306.0	풍납쌍용아파트	1	1	159	1	1994.0	20.0	풍납동	True	True
975339869.0	삼성래미안3차아파트	2	2	217	2	1999.0	18.0	청담동	True	True
976267543.0	논현동 청년주택 (공사중)	1	1	283	1	2023.0	15.0		True	True
976267585.0	동양파라곤아파트	4	4	203	4	2004.0	16.0	논현동	True	True
976267596.0	(공사중)	1	1	24	1	2023.0	20.0		True	True
