osm_id	floor_band	repr_floor	n_candidates	sun_hours_winter	view_block_pct	open_angle_mean
900203760	MID	7	279	5.42	61.1	80.3
900203760	HIGH	12	279	6.08	0.0	88.1
1427784401	LOW	2	228	6.08	23.6	94.2
1427784401	MID	6	228	6.08	8.3	96.3
1427784401	HIGH	10	228	6.08	0.0	98.3
469650428	LOW	3	133	5.58	75.0	61.8
469650428	MID	8	133	5.58	72.2	67.9
469650428	HIGH	13	133	5.58	63.9	76.2
1434834017	LOW	3	145	5.42	19.4	103.3
1434834017	MID	7	145	5.75	19.4	105.1
1434834017	HIGH	11	145	6.08	18.1	113.0
664676366	LOW	5	313	2.0	98.6	56.4
664676366	MID	14	313	2.92	80.6	68.0
664676366	HIGH	23	313	6.08	19.4	82.6
899375419	LOW	2	195	6.08	29.2	111.4
899375419	MID	3	195	6.08	26.4	113.2
899375419	HIGH	5	195	6.08	0.0	115.8
692770092	LOW	6	186	3.83	72.2	65.2
692770092	MID	18	186	3.83	72.2	81.7
692770092	HIGH	30	186	5.75	58.3	101.2
887930251	LOW	3	193	0.33	95.8	50.5
887930251	MID	7	193	0.33	95.8	57.8
887930251	HIGH	11	193	0.5	94.4	67.1
541688432	LOW	5	336	0.67	90.3	53.4
541688432	MID	13	336	0.67	84.7	68.1
541688432	HIGH	22	336	6.08	15.3	97.1
491030707	LOW	3	276	3.25	98.6	65.8
491030707	MID	8	276	5.17	87.5	73.6
491030707	HIGH	13	276	6.08	45.8	80.2
1444024274	LOW	2	270	0.5	69.4	72.3
1444024274	MID	6	270	1.17	55.6	78.0
1444024274	HIGH	10	270	6.08	43.1	84.4
691912349	LOW	6	156	3.17	43.1	106.2
691912349	MID	16	156	3.17	31.9	131.0
691912349	HIGH	26	156	5.75	23.6	141.7
899375446	LOW	3	328	3.08	75.0	68.2
899375446	MID	8	328	5.08	58.3	76.1
899375446	HIGH	13	328	6.08	15.3	84.7
192743514	LOW	2	134	1.5	41.7	112.5
192743514	MID	6	134	5.42	34.7	116.7
192743514	HIGH	10	134	6.08	2.8	121.5
1479453558	LOW	4	139	6.08	29.2	118.9
1479453558	MID	10	139	6.08	27.8	122.2
1479453558	HIGH	16	139	6.08	23.6	126.3
636223072	LOW	4	341	4.42	80.6	52.9
636223072	MID	11	341	4.42	75.0	60.5
636223072	HIGH	18	341	4.58	47.2	88.8
1077632516	LOW	2	343	4.17	47.2	80.6
1077632516	MID	6	343	6.08	15.3	85.5
1077632516	HIGH	10	343	6.08	0.0	87.9
1432581216	LOW	3	264	0.0	58.3	65.6
1432581216	MID	7	264	0.17	55.6	68.8
1432581216	HIGH	11	264	0.17	52.8	77.9
1080859549	LOW	5	293	5.92	56.9	82.8
1080859549	MID	14	293	5.92	52.8	101.2
1080859549	HIGH	23	293	5.92	30.6	119.6
469915277	LOW	3	56	6.08	40.3	99.4
469915277	MID	9	56	6.08	40.3	105.3
469915277	HIGH	15	56	6.08	19.4	124.1
1079940843	LOW	3	165	5.33	51.4	100.4
1079940843	MID	8	165	6.08	41.7	104.5
1079940843	HIGH	13	165	6.08	20.8	109.8
803489800	LOW	2	163	2.67	87.5	66.5
803489800	MID	6	163	3.0	86.1	72.8
803489800	HIGH	10	163	4.67	73.6	80.0
903684725	LOW	3	258	2.42	100.0	63.3
903684725	MID	8	258	4.67	94.4	72.0
903684725	HIGH	13	258	6.0	36.1	79.8
714714363	LOW	4	226	4.17	65.3	76.8
714714363	MID	10	226	6.08	63.9	83.5
714714363	HIGH	17	226	6.08	44.4	104.5
498015784	LOW	4	220	3.0	95.8	31.1
498015784	MID	11	220	3.67	95.8	36.2
498015784	HIGH	18	220	4.08	90.3	46.3
899363512	LOW	2	217	5.08	75.0	73.4
899363512	MID	3	217	5.92	63.9	76.2
899363512	HIGH	5	217	6.08	34.7	81.9
1171068243	LOW	2	307	0.0	73.6	68.2
1171068243	MID	6	307	0.67	73.6	72.4
1171068243	HIGH	10	307	2.25	69.4	77.0
1479035294	LOW	5	94	0.92	86.1	67.9
1479035294	MID	14	94	2.33	80.6	78.5
1479035294	HIGH	23	94	6.08	47.2	101.1
676938582	LOW	2	290	2.25	80.6	70.4
676938582	MID	1	290	2.25	87.5	66.9
676938582	HIGH	2	290	2.25	80.6	70.4
370438763	LOW	2	283	5.08	79.2	76.6
370438763	MID	5	283	5.75	69.4	82.1
370438763	HIGH	8	283	6.08	20.8	87.5
436407189	LOW	2	167	3.42	87.5	68.1
436407189	MID	6	167	5.0	70.8	75.8
436407189	HIGH	10	167	6.08	0.0	84.3
1455422560	LOW	3	156	2.0	61.1	87.4
1455422560	MID	8	156	4.08	59.7	97.7
1455422560	HIGH	13	156	6.08	15.3	105.6
193180223	LOW	2	135	3.0	84.7	67.7
193180223	MID	6	135	3.58	73.6	74.5
193180223	HIGH	10	135	6.08	31.9	82.4
1077382414	LOW	3	273	3.5	58.3	67.2
1077382414	MID	8	273	3.5	44.4	76.0
1077382414	HIGH	14	273	4.75	41.7	84.6
443026473	LOW	4	367	0.67	77.8	53.5
443026473	MID	11	367	4.17	62.5	66.0
443026473	HIGH	19	367	4.92	54.2	85.7
1479251294	LOW	3	132	1.25	84.7	55.2
1479251294	MID	8	132	1.25	81.9	60.7
1479251294	HIGH	13	132	3.5	65.3	70.6
979503363	LOW	3	299	6.08	55.6	91.9
979503363	MID	8	299	6.08	48.6	98.4
979503363	HIGH	13	299	6.08	13.9	114.2
1368621265	LOW	4	265	1.0	84.7	58.5
1368621265	MID	11	265	1.0	73.6	68.9
1368621265	HIGH	18	265	4.92	37.5	103.9
775687306	LOW	3	305	4.08	65.3	76.1
775687306	MID	7	305	5.5	58.3	81.6
775687306	HIGH	12	305	6.08	0.0	89.2
1089003966	LOW	3	189	0.5	51.4	81.3
1089003966	MID	8	189	2.42	47.2	86.4
1089003966	HIGH	14	189	6.08	31.9	106.4
769718620	LOW	5	237	1.92	86.1	56.8
769718620	MID	15	237	1.92	77.8	68.4
769718620	HIGH	25	237	4.92	34.7	111.7
1100958887	LOW	4	397	1.0	97.2	54.0
1100958887	MID	11	397	4.0	84.7	63.6
1100958887	HIGH	18	397	5.92	51.4	82.9
701115068	LOW	3	79	3.75	80.6	80.5
701115068	MID	7	79	6.08	75.0	88.0
701115068	HIGH	12	79	6.08	47.2	120.2
498019758	LOW	5	226	0.67	61.1	63.5
498019758	MID	15	226	2.08	61.1	88.8
498019758	HIGH	25	226	4.92	30.6	107.7
1435058298	LOW	2	260	1.58	65.3	77.2
1435058298	MID	5	260	3.67	63.9	82.9
1435058298	HIGH	8	260	4.92	50.0	89.6
370330265	LOW	2	362	6.08	61.1	75.5
370330265	MID	5	362	6.08	52.8	79.9
370330265	HIGH	8	362	6.08	20.8	87.1
684421225	LOW	3	120	1.92	91.7	69.6
684421225	MID	8	120	4.5	75.0	78.4
684421225	HIGH	13	120	6.08	0.0	88.5
1479452539	LOW	5	88	6.08	33.3	124.3
1479452539	MID	13	88	6.08	13.9	132.2
1479452539	HIGH	21	88	6.08	0.0	147.7
803489778	LOW	3	184	0.92	76.4	76.0
803489778	MID	8	184	4.75	76.4	84.3
803489778	HIGH	13	184	6.08	8.3	94.4
693480747	LOW	6	197	2.67	83.3	57.1
693480747	MID	18	197	2.67	81.9	72.5
693480747	HIGH	30	197	5.17	47.2	103.1
1479249863	LOW	8	138	4.08	37.5	90.1
1479249863	MID	24	138	6.08	20.8	114.0
1479249863	HIGH	40	138	6.08	12.5	158.9
1298891623	LOW	2	75	4.17	52.8	108.3
1298891623	MID	5	75	6.08	44.4	112.3
1298891623	HIGH	9	75	6.08	9.7	118.3
1479043733	LOW	3	132	6.08	37.5	117.6
1479043733	MID	7	132	6.08	20.8	119.4
1479043733	HIGH	12	132	6.08	19.4	121.5
701096918	LOW	3	106	1.92	58.3	90.4
701096918	MID	8	106	5.17	58.3	106.5
701096918	HIGH	13	106	6.08	27.8	115.8
1080486984	LOW	4	199	0.33	72.2	63.6
1080486984	MID	10	199	3.33	65.3	74.3
1080486984	HIGH	16	199	6.08	29.2	104.5
362436554	LOW	2	227	4.33	86.1	72.1
362436554	MID	5	227	5.67	61.1	77.9
362436554	HIGH	8	227	6.08	18.1	82.9
803639600	LOW	4	299	0.0	97.2	53.4
803639600	MID	10	299	1.75	95.8	65.7
803639600	HIGH	16	299	5.17	45.8	81.2
469650440	LOW	5	141	4.67	43.1	88.7
469650440	MID	13	141	6.08	31.9	106.5
469650440	HIGH	21	141	6.08	12.5	137.2
471715977	LOW	3	206	6.08	36.1	101.3
471715977	MID	9	206	6.08	34.7	105.4
471715977	HIGH	15	206	6.08	0.0	116.1
1479612456	LOW	3	127	0.75	79.2	75.6
1479612456	MID	8	127	5.92	73.6	82.6
1479612456	HIGH	13	127	6.08	36.1	89.8
691174967	LOW	6	165	0.83	88.9	59.5
691174967	MID	18	165	2.17	75.0	78.1
691174967	HIGH	30	165	6.08	40.3	109.0
468746617	LOW	2	295	2.58	72.2	80.1
468746617	MID	4	295	2.58	70.8	83.9
468746617	HIGH	7	295	2.58	34.7	90.1
938748242	LOW	2	84	6.08	11.1	141.7
938748242	MID	6	84	6.08	2.8	142.4
938748242	HIGH	10	84	6.08	2.8	143.0
896105520	LOW	3	131	6.08	45.8	87.5
896105520	MID	8	131	6.08	41.7	92.8
896105520	HIGH	13	131	6.08	0.0	99.0
663489513	LOW	4	224	1.92	76.4	61.2
663489513	MID	11	224	3.42	72.2	72.9
663489513	HIGH	19	224	6.08	44.4	93.6
883726457	LOW	3	321	5.0	87.5	71.5
883726457	MID	8	321	5.33	72.2	77.6
883726457	HIGH	13	321	5.83	27.8	83.3
939568521	LOW	3	115	0.17	68.1	78.3
939568521	MID	8	115	4.92	63.9	85.4
