osm_id	amenity	name	lon	lat
8244239846	pub	옛골두부	127.0684052	37.4260178
8244246446	pub	옛날파전	127.0690994	37.426899
8244271788	pub	행복한 식당 식도락	127.068634	37.4262238
9299781396	bar	레몬노래빵	127.155833	37.4439886
9299781397	bar	샵노래빵	127.1367857	37.4341842
9299781398	bar	썸노래단란주점	127.1583893	37.4360633
9299781399	bar	썬라이브	127.1301553	37.432828
9299781400	bar	토담골	127.1286905	37.4323867
9299781401	bar	인사동 7080라이브	127.1552094	37.4436645
9299781402	bar	시크릿 라이브	127.12948	37.4327305
9299781404	bar	이벤트노래빵	127.1583041	37.4354646
9299781405	bar	수 노래빵	127.1402785	37.4354473
9299781406	bar	수은노래주점	127.1282648	37.4329484
9299781407	bar	뽕7080라이브	127.1305433	37.43289
9299781408	bar	은하수노래주점	127.128422	37.4305538
9299781409	bar	큐(Q)라이브	127.1302911	37.4332259
9299781410	bar	동아포차호프	127.1399731	37.4350661
9299781411	bar	에브리클럽	127.1297518	37.4323335
9299781412	bar	소원	127.1303061	37.4326436
9299781414	bar	3050라이브	127.1302851	37.4328653
9299781415	bar	허브노래천국	127.1313398	37.4330818
9299781416	bar	동아노래광장	127.1399939	37.4350549
9299781417	bar	야시단란주점	127.1375924	37.4343408
9299781418	bar	민들레라이브	127.1298658	37.4299774
9299781419	bar	후끈후끈노래빵	127.155746	37.4432119
9299781420	bar	연예인	127.1393367	37.4348057
9299781421	bar	더팬라이브7080	127.1297992	37.432116
9299781422	bar	허즈	127.1527985	37.4421481
9299781423	bar	와우가	127.1393136	37.4353492
9299781424	bar	리캡라이브3040	127.12931	37.43324
9299781425	bar	엉클주점	127.1584739	37.4362943
9299781431	bar	불놀이야 라이브	127.1317141	37.4335082
9299781435	bar	놈(NOM)	127.1283585	37.4324102
9299781436	bar	아리수노래빵	127.130264	37.4312047
9299781438	bar	호박노래주점	127.1361141	37.4302693
9299781439	bar	제일노래하는포.차	127.1553578	37.443459
9299781440	bar	카네기노래포장마차	127.154086	37.4424933
9299781442	bar	갤러리	127.1590232	37.4486588
