aptSeq	apt_name	umd_name	jibun	build_year	n_trades
11680-260	풍림지오빌	역삼동	635-5	2002.0	1
11680-25	골든아트빌	청담동	28-13	2000.0	1
11680-233	거평빌라트	역삼동	794-28	1996.0	1
11680-207	대치효성	대치동	988-4	1999.0	1
11680-193	풍림	삼성동	129-20	1997.0	1
11680-192	삼성풍림2차아파트	삼성동	104	1998.0	1
11680-190	푸른솔아파트1동	삼성동	4-3	1996.0	1
11680-179	세방타운하우스	삼성동	64-7	1998.0	1
11680-581	리치타운	개포동	1204-5	2004.0	1
11680-576	청담대우멤버스카운티12차	청담동	110-11	2004.0	1
11680-574	청담대우멤버스카운티9차	청담동	110-7	2004.0	1
11680-568	뉴현대	신사동	550-5	2004.0	1
11680-598	삼성월드타워	삼성동	3-1	1997.0	1
11680-582	힐타워	논현동	53-1	2001.0	1
11680-584	토미	신사동	593-32	2004.0	1
11680-594	역삼엔스위트102동	역삼동	656-31	2005.0	1
11680-663	에벤에셀빌라트	역삼동	685-19	2001.0	1
11680-61	청담힐(에이동)진도(비동)	청담동	113	1997.0	1
11680-599	우림루미아트	삼성동	75-3	2005.0	1
11680-713	하야트빌	신사동	551-5	2005.0	1
11680-84	현대빌라(43-1)	청담동	43-1	1992.0	1
11680-717	논현동프라임	논현동	192-3	2004.0	1
11680-101	한신오페라하우스	청담동	35-47	2003.0	1
11680-99	이니그마빌2	청담동	90-10	2002.0	1
