confidence	aptSeq	apt_name	gu	addr_road	n_deals	build_year	reg_year	osm_year_median	year_diff	n_dong	reg_dong	dong_diff	reg_units	n_by_boundary	n_height_imputed	max_levels	max_height_m	mean_dist	dong_dist_max	levels_spread	year_spread	prescreen	dong_list	kakao_map_url	verdict	note
MIXED	11560-2006	래미안에스티움	영등포구	서울 영등포구 신풍로 77	919	2017.0	2017.0	2017.0	0.0	19.0	19.0	0.0	1722.0	0.0	0.0	28.0	79.0	235.24164936738327	443.0	18.0	4.0	층수편차18F 거리상한	111:18F:52m | 112:18F:52m | 101:26F:74m | 110:27F:77m | 102:27F:77m | 113:18F:52m | 109:27F:77m | 114:18F:52m | 108:27F:77m | 115:18F:52m | 118:10F:30m | 116:18F:52m | ...외 7동	https://map.kakao.com/link/map/래미안에스티움,37.5004196071802,126.911544544308		
MIXED	11530-17	신도림태영타운	구로구	서울 구로구 새말로 93	785	2000.0	2000.0	2000.0	0.0	13.0	13.0	0.0	1252.0	0.0	0.0	27.0	76.0	84.95083498751237	190.0	11.0	0.0	층수편차11F	?:24F:68m | ?:27F:76m | ?:21F:60m | 113:16F:51m | ?:27F:76m | 112:25F:71m | ?:27F:76m | 111:27F:76m | ?:27F:76m | ?:27F:76m | ?:21F:60m | ?:27F:76m | ...외 1동	https://map.kakao.com/link/map/신도림태영타운,37.5062405640767,126.889132088222		
MIXED	11230-2802	래미안미드카운티	동대문구	서울 동대문구 답십리로 141	759	2019.0	2019.0	2019.0	0.0	12.0	12.0	0.0	1009.0	1.0	0.0	21.0	60.0	133.10902111206698	238.0	10.0	2.0	층수편차10F	112:15F:43m | 111:13F:38m | 110:13F:38m | 109:15F:43m | ?:21F:60m | 108:15F:43m | 107:20F:60m | 105:21F:60m | ?:11F:43m | 101:20F:57m | 102:20F:57m | 103:19F:54m	https://map.kakao.com/link/map/래미안미드카운티,37.5733430631896,127.055281769593		
MIXED	11440-3927	상암월드컵파크7단지	마포구	서울 마포구 상암산로1길 92	449	2005.0	2005.0	2005.0	0.0	17.0	17.0	0.0	733.0	0.0	0.0	14.0	46.0	171.27431465400915	302.0	2.0	5.0	준공편차5년 거리상한	704동:13F:36m | 703동:14F:39m | 707동:14F:39m | 706동:14F:39m | 702동:13F:38m | 701동:14F:39m | 705동:14F:39m | 708동:13F:36m | 713동:14F:39m | 712동:14F:39m | ?:14F:39m | ?:13F:46m | ...외 5동	https://map.kakao.com/link/map/상암월드컵파크7단지,37.5827563946262,126.882098813336		
MIXED	11260-91	성원	중랑구	서울 중랑구 신내로 51	405	1994.0	1994.0	1994.0	0.0	4.0	5.0	-1.0	876.0	1.0	1.0	25.0	68.0	135.81215302353928	238.0	10.0	0.0	층수편차10F 과소1동	101동:25F:68m | 102동:25F:68m | ?:?F:68m | 105동:15F:40m	https://map.kakao.com/link/map/성원,37.6059761741832,127.09472455776		
MIXED	11710-122	대림	송파구	서울 송파구 위례성대로 176	376	1988.0	1988.0	1988.0	0.0	7.0	7.0	0.0	749.0	0.0	0.0	15.0	42.0	98.38890608319312	168.0	3.0	0.0		1:15F:42m | 2:15F:42m | 6:15F:42m | 5:15F:42m | 3:15F:42m | 108:12F:34m | 111:12F:34m	https://map.kakao.com/link/map/대림,37.5106367079515,127.128758558501		
MIXED	11350-137	동신	노원구	서울 노원구 광운로2나길 30	363	1983.0	1983.0	1983.0	0.0	7.0	7.0	0.0	864.0	0.0	0.0	12.0	35.0	193.97747632108667	450.0	2.0	40.0	준공편차40년 거리상한	1:12F:34m | 2:12F:34m | 3:12F:34m | 6:12F:34m | 5:12F:34m | 7:12F:34m | ?:10F:35m	https://map.kakao.com/link/map/동신,37.6161515398139,127.060726394761		
MIXED	11710-18	현대1	송파구	서울 송파구 올림픽로 525	354	1995.0	1995.0	1995.0	0.0	6.0	6.0	0.0	708.0	0.0	1.0	20.0	56.0	76.21619396733678	131.0	3.0	0.0		104:17F:48m | 106:20F:56m | 103:19F:53m | ?:?F:53m | 105:20F:56m | 102:19F:53m	https://map.kakao.com/link/map/현대1,37.5301130130253,127.119355326822		
MIXED	11290-48	정릉우성아파트 101~105동	성북구	서울 성북구 북악산로 813	315	2000.0	2000.0	1999.0	1.0	4.0	5.0	-1.0	823.0	0.0	0.0	22.0	64.0	200.4581597420842	281.0	5.0	5.0	준공편차5년 과소1동	?:17F:55m | ?:22F:62m | ?:20F:64m | ?:20F:64m	https://map.kakao.com/link/map/정릉우성아파트 101~105동,37.6011392451733,127.014945523493		
MIXED	11200-82	서울숲리버그린동아아파트	성동구	서울 성동구 고산자로4길 34	231	2003.0	2003.0	2003.0	0.0	4.0	5.0	-1.0	375.0	3.0	0.0	25.0	71.0	82.73923309128728	124.0	13.0	2.0	층수편차13F 과소1동	?:25F:71m | ?:23F:68m | ?:23F:67m | ?:12F:35m	https://map.kakao.com/link/map/서울숲리버그린동아아파트,37.5526533730412,127.036859978442		
