osm_id	building_type	name	truth_id	truth_name	cluster_id
636223046	apartments	207	636212514.0	래미안그레이튼3차아파트	355
636223047	apartments	203	636212514.0	래미안그레이튼3차아파트	355
636223048	apartments	204	636212514.0	래미안그레이튼3차아파트	355
636223049	apartments	205	636212514.0	래미안그레이튼3차아파트	355
636223050	apartments	206	636212514.0	래미안그레이튼3차아파트	355
636223052	apartments	106	443028264.0	대치동부센트레빌아파트	441
636223053	apartments	107	443028264.0	대치동부센트레빌아파트	441
636223054	apartments	102	443028264.0	대치동부센트레빌아파트	441
636223055	apartments	101	443011156.0	래미안대치팰리스1단지아파트	442
636223056	apartments	103	443011156.0	래미안대치팰리스1단지아파트	442
636223057	apartments	111	443011156.0	래미안대치팰리스1단지아파트	442
636223058	apartments	107	443011156.0	래미안대치팰리스1단지아파트	442
636223059	apartments	112	443011156.0	래미안대치팰리스1단지아파트	442
636223060	apartments	108	443011156.0	래미안대치팰리스1단지아파트	443
636223061	apartments	102	443011156.0	래미안대치팰리스1단지아파트	442
636223062	apartments	105	443011156.0	래미안대치팰리스1단지아파트	442
636223063	apartments	106	443011156.0	래미안대치팰리스1단지아파트	442
636223064	apartments	113	443011156.0	래미안대치팰리스1단지아파트	442
636223066	apartments	104	443011156.0	래미안대치팰리스1단지아파트	442
636223071	apartments	202	443011306.0	래미안대치팰리스2단지아파트	485
636223072	apartments	201	443011306.0	래미안대치팰리스2단지아파트	485
636223073	apartments	203	443011306.0	래미안대치팰리스2단지아파트	485
636223074	apartments	204	443011306.0	래미안대치팰리스2단지아파트	485
636898094	apartments	102	510394413.0	역삼 자이	300
636898097	apartments	103	510394413.0	역삼 자이	300
636898100	apartments	101	510394413.0	역삼 자이	300
637366118	apartments	111	614507249.0	대치아이파크아파트	444
637366119	apartments	109	614507249.0	대치아이파크아파트	444
637366120	apartments	110	614507249.0	대치아이파크아파트	444
637366121	apartments	107	614507249.0	대치아이파크아파트	444
637366123	apartments	103	614507249.0	대치아이파크아파트	444
637366124	apartments	102	614507249.0	대치아이파크아파트	444
637366125	apartments	104	614507249.0	대치아이파크아파트	444
637366126	apartments	106	614507249.0	대치아이파크아파트	444
637366127	apartments	101	614507249.0	대치아이파크아파트	444
637366128	apartments	105	614507249.0	대치아이파크아파트	444
637366129	apartments	108	614507249.0	대치아이파크아파트	444
637366137	apartments	107	417923179.0	역삼 래미안	357
637366138	apartments	108	417923179.0	역삼 래미안	357
637366139	apartments	102	417923179.0	역삼 래미안	357
637366140	apartments	101	417923179.0	역삼 래미안	357
637366141	apartments	105	417923179.0	역삼 래미안	357
637366142	apartments	111	417923179.0	역삼 래미안	357
637366143	apartments	109	417923179.0	역삼 래미안	357
637366144	apartments	106	417923179.0	역삼 래미안	357
637366145	apartments	104	417923179.0	역삼 래미안	357
637366146	apartments	110	417923179.0	역삼 래미안	357
637366147	apartments	112	417923179.0	역삼 래미안	357
637366148	apartments	103	417923179.0	역삼 래미안	357
637366150	apartments	102	637366149.0	대치롯데캐슬리베아파트	399
637366151	apartments	101	637366149.0	대치롯데캐슬리베아파트	399
647165378	apartments	역삼럭키아파트 101동	925265461.0	역삼럭키아파트	285
647165379	apartments	역삼럭키아파트 110동	925265461.0	역삼럭키아파트	285
647165380	apartments	역삼럭키아파트 102동	925265461.0	역삼럭키아파트	285
647165381	apartments	역삼럭키아파트 105동	925265461.0	역삼럭키아파트	221
647165382	apartments	역삼럭키아파트 103동	925265461.0	역삼럭키아파트	221
647165383	apartments	역삼럭키아파트 104동	925265461.0	역삼럭키아파트	221
647165384	apartments	역삼럭키아파트 108동	925265461.0	역삼럭키아파트	285
647165385	apartments	역삼럭키아파트 109동	925265461.0	역삼럭키아파트	285
647165386	apartments	역삼럭키아파트 106동	925265461.0	역삼럭키아파트	221
647165387	apartments	역삼럭키아파트 107동	925265461.0	역삼럭키아파트	221
647168399	apartments	한라비발디			217
647173081	apartments	탑팰리스 아파트			299
647240144	apartments	도곡현대그린아파트			221
654955583	apartments				504
654955585	apartments				504
656644025	apartments	109동	656644026.0	강남효성해링턴코트아파트	691
656644027	apartments	110동	656644026.0	강남효성해링턴코트아파트	691
656644028	apartments	108동	656644026.0	강남효성해링턴코트아파트	691
