aptSeq	apt_name	gu	confidence	osm_id	name	name_key	levels	height_m	dist_m	assign_method
11380-6	녹번JR아파트	은평구	HIGH	901484102	102동	102	13.0	37.0	13.345971253544	boundary
11380-6	녹번JR아파트	은평구	HIGH	901484103	103동	103	19.0	53.0	48.75600987255994	boundary
11380-6	녹번JR아파트	은평구	HIGH	901484104	101동	101	10.0	29.0	68.1666118577617	boundary
11380-6	녹번JR아파트	은평구	HIGH	901484105	105동	105	19.0	53.0	80.87586740756369	boundary
11410-4117	벽산임대(108동)	서대문구	HIGH	901509960	104동	104	15.0	41.0	5.511586093729637	boundary
11410-71	홍제삼성래미안	서대문구	HIGH	902498000	106동	106	12.0	33.599999999999994	72.84139262059698	boundary
11410-3906	돈의문센트레빌	서대문구	HIGH	902529624	215동	215	11.0	31.0	6.4042889960105365	boundary
11440-33	상록	마포구	LOW	902866758	113동	113	13.0	36.4	119.57164797387584	nearest
11500-21	신동아	강서구	HIGH	910913482	신동아 파밀리에	신동아파밀리에	14.0	41.0	61.08490484675533	boundary
11500-21	신동아	강서구	HIGH	910914335	신동아 파밀리에	신동아파밀리에	15.0	41.0	3.9472792097544303	boundary
11380-7928	린든빌(29-26)	은평구	LOW	915455603	린든빌아파트	린든빌아파트			3.4373674270915777	nearest
11380-269	정명네스트	은평구	LOW	916052413	정명아파트	정명아파트			2.935500018013974	nearest
11380-408	부흥아파트(33-10)	은평구	LOW	943467839	부흥아파트	부흥아파트			2.4218292869602127	nearest
11380-6833	정은노블스A	은평구	LOW	945079652	정은노블스아파트	정은노블스아파트			8.309021195700273	nearest
11380-6834	화림빌딩(23-10)	은평구	LOW	945478551	한양아트빌아파트	한양아트빌아파트			39.1428932472946	nearest
11380-154	청운	은평구	HIGH	945478559	청운아파트	청운아파트	12.0	33.0	3.2056613274848456	boundary
11380-262	새한	은평구	LOW	945695160	새한아파트	새한아파트			4.78221599222216	nearest
11380-152	에코벨리	은평구	LOW	945695161	에코밸리아파트	에코밸리아파트			0.3081742804876837	nearest
11380-266	청운제일(362-0)	은평구	LOW	945695189	청운제일아파트	청운제일아파트	10.0	29.0	1.9916690084640736	nearest
11380-264	모델리안1	은평구	LOW	946002836	모델리안아파트	모델리안아파트			6.656972138500372	nearest
11380-229	다원그린	은평구	LOW	946002840	다원그린아파트	다원그린아파트			1.815257010870729	nearest
11380-228	명남더블레스(39-4)	은평구	HIGH	946002844	101	101	10.0	30.0	4.53813328916866	boundary
11380-117	명남더블레스(39-19)	은평구	HIGH	946002845	102	102			5.557128135996619	boundary
