aptSeq	floor_band	river_view	park_view	mountain_view	open_span_max
11530-4123	LOW	False	True	True	35.0
11530-4123	MID	False	True	True	60.0
11530-4123	HIGH	False	True	True	200.0
11530-3469	LOW	False	True	True	107.5
11530-3469	MID	False	True	True	115.0
11530-3469	HIGH	False	True	True	235.0
11530-4408	LOW	False	False		130.0
11530-4408	MID	False	False		140.0
11530-4408	HIGH	False	True		205.0
11530-4466	LOW	False	False		5.0
11530-4466	MID	False	False		90.0
11530-4466	HIGH	False	False		100.0
11530-112	LOW	False	True	True	140.0
11530-112	MID	False	True		140.0
11530-112	HIGH	False	True		140.0
11530-111	LOW	False	True	True	100.0
11530-111	MID	False	True		100.0
11530-111	HIGH	False	True		165.0
11530-3719	LOW	False	False	True	175.0
11530-3719	MID	False	False		190.0
11530-3719	HIGH	False	False		205.0
11530-3799	LOW	False	False		50.0
11530-3799	MID	False	False		95.0
11530-3799	HIGH	False	False		95.0
11530-3224	LOW	False	False		130.0
11530-3224	MID	False	False		135.0
11530-3224	HIGH	False	False		145.0
11530-101	LOW	False	True	True	77.5
11530-101	MID	False	True	True	90.0
11530-101	HIGH	False	True	True	237.5
11530-164	LOW	False	False		20.0
11530-164	MID	False	False		20.0
11530-164	HIGH	False	False		20.0
11530-3818	LOW	False	True	True	90.0
11530-3818	MID	False	True	True	105.0
11530-3818	HIGH	False	True	True	260.0
11530-108	LOW	False	False		10.0
11530-108	MID	False	False		35.0
11530-108	HIGH	False	False		40.0
11530-4009	LOW	False	True	True	85.0
11530-4009	MID	False	True	True	95.0
11530-4009	HIGH	False	True	True	130.0
11530-190	LOW	False	True	True	150.0
11530-190	MID	False	True		165.0
11530-190	HIGH	False	True		295.0
11470-170	LOW	False	True		122.5
11470-170	MID	False	True		132.5
11470-170	HIGH	False	True		347.5
11470-151	LOW	False	True	True	107.5
11470-151	MID	False	True		112.5
11470-151	HIGH	False	True		360.0
11470-4574	LOW	False	True	True	140.0
11470-4574	MID	False	True	True	165.0
11470-4574	HIGH	False	True		310.0
11470-323	LOW	False	True		70.0
11470-323	MID	False	True		100.0
11470-323	HIGH	False	True		215.0
11470-5860	LOW	False	False		130.0
11470-5860	MID	False	False		285.0
11470-5860	HIGH	False	True		360.0
11470-314	LOW	False	True		85.0
11470-314	MID	False	True		150.0
11470-314	HIGH	False	True		150.0
11470-326	LOW	False	True		70.0
11470-326	MID	False	True		70.0
11470-326	HIGH	False	True		145.0
11470-198	LOW	False	True		265.0
11470-198	MID	False	True		300.0
11470-198	HIGH	False	True		320.0
11530-3247	LOW	False	True	True	360.0
11530-3247	MID	False	True	True	360.0
11530-3247	HIGH	False	True	True	360.0
11530-3226	LOW	False	True	True	360.0
11530-3226	MID	False	True	True	360.0
11530-3226	HIGH	False	True	True	360.0
11530-3253	LOW	False	True	True	360.0
11530-3253	MID	False	True	True	360.0
11530-3253	HIGH	False	True	True	360.0
11530-3374	LOW	False	True	True	360.0
11530-3374	MID	False	True	True	360.0
11530-3374	HIGH	False	True	True	360.0
11530-3276	LOW	False	True	True	360.0
11530-3276	MID	False	True	True	360.0
11530-3276	HIGH	False	True	True	360.0
11530-3740	LOW	False	True	True	360.0
11530-3740	MID	False	True	True	360.0
11530-3740	HIGH	False	True	True	360.0
11530-3354	LOW	False	True	True	280.0
11530-3354	MID	False	True	True	285.0
11530-3354	HIGH	False	True	True	350.0
11530-4543	LOW	False	True	True	295.0
11530-4543	MID	False	True	True	355.0
11530-4543	HIGH	False	True	True	355.0
11530-239	LOW	False	True	True	280.0
11530-239	MID	False	True	True	280.0
11530-239	HIGH	False	True	True	345.0
11530-193	LOW	False	True	True	130.0
11530-193	MID	False	True	True	155.0
11530-193	HIGH	False	True	True	205.0
11470-5691	LOW	False	True		65.0
11470-5691	MID	False	True		125.0
11470-5691	HIGH	False	True		200.0
11470-237	LOW	False	False		20.0
11470-237	MID	False	False		20.0
11470-237	HIGH	False	False		25.0
11470-319	LOW	False	False		105.0
11470-319	MID	False	False		110.0
